date,temperature_2m_max,temperature_2m_min,soil_temperature_100_to_255cm_max,soil_temperature_100_to_255cm_min,soil_moisture_100_to_255cm_max,soil_moisture_100_to_255cm_min,precipitation_max,precipitation_min,water_leakage
2001-12-30 00:00:00+00:00,8.726,-0.424,11.526,10.876,0.365,0.363,1.1,0.0,6825.71
2002-01-06 00:00:00+00:00,6.676,-0.824,10.876,10.176,0.365,0.364,0.2,0.0,7377.76
2002-01-13 00:00:00+00:00,9.176,2.626,10.176,9.576,0.365,0.365,0.6,0.0,6842.04
2002-01-20 00:00:00+00:00,11.526,2.076,9.576,9.226,0.366,0.365,1.0,0.0,6143.7
2002-01-27 00:00:00+00:00,12.676,3.826,9.176,8.976,0.368,0.366,1.8,0.0,5903.38
2002-02-03 00:00:00+00:00,12.526,6.376,8.976,8.926,0.374,0.369,2.3,0.0,5727.11
2002-02-10 00:00:00+00:00,11.526,3.426,8.926,8.926,0.38,0.374,2.5,0.0,6745.02
2002-02-17 00:00:00+00:00,12.376,1.926,8.926,8.876,0.384,0.38,0.5,0.0,7030.34
2002-02-24 00:00:00+00:00,11.826,2.326,8.876,8.726,0.386,0.384,1.5,0.0,7014.64
2002-03-03 00:00:00+00:00,11.426,1.576,8.726,8.576,0.389,0.386,1.9,0.0,7202.31
2002-03-10 00:00:00+00:00,12.726,3.776,8.576,8.426,0.389,0.389,0.3,0.0,7002.17
2002-03-17 00:00:00+00:00,12.576,4.576,8.426,8.376,0.389,0.389,1.9,0.0,7028.73
2002-03-24 00:00:00+00:00,13.226,5.626,8.376,8.326,0.391,0.389,2.2,0.0,6517.72
2002-03-31 00:00:00+00:00,14.326,4.926,8.426,8.376,0.391,0.391,0.2,0.0,7577.32
2002-04-07 00:00:00+00:00,13.776,6.326,8.526,8.426,0.391,0.39,0.0,0.0,7470.86
2002-04-14 00:00:00+00:00,10.326,3.826,8.626,8.526,0.39,0.389,0.2,0.0,7555.42
2002-04-21 00:00:00+00:00,15.576,4.926,8.676,8.626,0.389,0.387,0.7,0.0,7734.59
2002-04-28 00:00:00+00:00,19.075998,7.376,8.926,8.676,0.387,0.384,1.6,0.0,7381.54
2002-05-05 00:00:00+00:00,13.776,5.726,9.176,8.926,0.384,0.382,1.4,0.0,7287.86
2002-05-12 00:00:00+00:00,14.976,7.876,9.376,9.176,0.382,0.38,0.6,0.0,7658.43
2002-05-19 00:00:00+00:00,17.175999,9.376,9.676,9.376,0.38,0.378,2.2,0.0,7654.99
2002-05-26 00:00:00+00:00,17.126,9.776,10.026,9.676,0.378,0.375,2.3,0.0,7793.51
2002-06-02 00:00:00+00:00,19.175999,8.326,10.376,10.026,0.375,0.373,2.1,0.0,7911.33
