date,temperature_2m,soil_temperature_100_to_255cm,soil_moisture_100_to_255cm,precipitation,water_leakage
2001-12-30 00:00:00+00:00,8.726,11.526,0.365,1.1,6825.71
2002-01-06 00:00:00+00:00,6.676,10.876,0.365,0.2,7377.76
2002-01-13 00:00:00+00:00,9.176,10.176,0.365,0.6,6842.04
2002-01-20 00:00:00+00:00,11.526,9.576,0.366,1.0,6143.7
2002-01-27 00:00:00+00:00,12.676,9.176,0.368,1.8,5903.38
2002-02-03 00:00:00+00:00,12.526,8.976,0.374,2.3,5727.11
2002-02-10 00:00:00+00:00,11.526,8.926,0.38,2.5,6745.02
2002-02-17 00:00:00+00:00,12.376,8.926,0.384,0.5,7030.34
2002-02-24 00:00:00+00:00,11.826,8.876,0.386,1.5,7014.64
2002-03-03 00:00:00+00:00,11.426,8.726,0.389,1.9,7202.31
2002-03-10 00:00:00+00:00,12.726,8.576,0.389,0.3,7002.17
2002-03-17 00:00:00+00:00,12.576,8.426,0.389,1.9,7028.73
2002-03-24 00:00:00+00:00,13.226,8.376,0.391,2.2,6517.72
2002-03-31 00:00:00+00:00,14.326,8.426,0.391,0.2,7577.32
2002-04-07 00:00:00+00:00,13.776,8.526,0.391,0.0,7470.86
2002-04-14 00:00:00+00:00,10.326,8.626,0.39,0.2,7555.42
2002-04-21 00:00:00+00:00,15.576,8.676,0.389,0.7,7734.59
2002-04-28 00:00:00+00:00,19.075998,8.926,0.387,1.6,7381.54
2002-05-05 00:00:00+00:00,13.776,9.176,0.384,1.4,7287.86
2002-05-12 00:00:00+00:00,14.976,9.376,0.382,0.6,7658.43
2002-05-19 00:00:00+00:00,17.175999,9.676,0.38,2.2,7654.99
2002-05-26 00:00:00+00:00,17.126,10.026,0.378,2.3,7793.51
2002-06-02 00:00:00+00:00,19.175999,10.376,0.375,2.1,7911.33
2002-06-09 00:00:00+00:00,18.226,10.726,0.373,3.4,7807.24
2002-06-16 00:00:00+00:00,20.626,11.076,0.371,1.5,8107.52
2002-06-23 00:00:00+00:00,23.876,11.526,0.369,1.7,8695.88
2002-06-30 00:00:00+00:00,21.126,11.976,0.368,0.8,7950.39
2002-07-07 00:00:00+00:00,18.575998,12.376,0.366,2.4,7805.63
2002-07-14 00:00:00+00:00,20.226,12.676,0.364,1.0,8417.2
2002-07-21 00:00:00+00:00,20.325998,13.076,0.362,1.0,8703.9
2002-07-28 00:00:00+00:00,24.626,13.476,0.36,0.3,8646.96
2002-08-04 00:00:00+00:00,22.726,13.976,0.358,1.3,7712.99
2002-08-11 00:00:00+00:00,22.325998,14.426,0.356,1.6,8146.28
2002-08-18 00:00:00+00:00,25.175999,14.826,0.354,0.7,7840.79
2002-08-25 00:00:00+00:00,22.776,15.276,0.352,0.3,7970.81
2002-09-01 00:00:00+00:00,22.276,15.626,0.351,0.2,8341.12
2002-09-08 00:00:00+00:00,21.376,15.876,0.349,1.1,7538.89
2002-09-15 00:00:00+00:00,19.726,16.075998,0.347,2.9,7658.94
2002-09-22 00:00:00+00:00,17.776,16.175999,0.345,0.0,7578.14
2002-09-29 00:00:00+00:00,17.976,16.175999,0.344,1.1,7976.94
2002-10-06 00:00:00+00:00,19.325998,16.126,0.342,0.4,8233.15
2002-10-13 00:00:00+00:00,14.726,16.075998,0.341,2.3,8375.76
2002-10-20 00:00:00+00:00,14.726,15.976,0.339,1.9,8143.21
2002-10-27 00:00:00+00:00,15.726,15.676,0.338,2.4,7763.02
2002-11-03 00:00:00+00:00,15.526,15.326,0.337,2.6,8808.73
2002-11-10 00:00:00+00:00,14.026,14.976,0.336,3.4,7928.69
2002-11-17 00:00:00+00:00,12.576,14.676,0.336,2.2,8067.78
2002-11-24 00:00:00+00:00,11.826,14.276,0.338,1.0,8666.96
2002-12-01 00:00:00+00:00,12.076,13.876,0.339,2.0,8464.23
2002-12-08 00:00:00+00:00,10.076,13.476,0.341,1.8,8125.75
2002-12-15 00:00:00+00:00,8.976,13.026,0.344,1.0,7778.24
2002-12-22 00:00:00+00:00,11.126,12.426,0.349,2.7,8595.61
2002-12-29 00:00:00+00:00,12.426,11.876,0.36,2.4,8694.26
2003-01-05 00:00:00+00:00,11.876,11.476,0.382,3.6,9007.02
2003-01-12 00:00:00+00:00,5.476,11.126,0.388,0.4,8347.08
2003-01-19 00:00:00+00:00,9.576,10.576,0.39,1.9,9666.0
2003-01-26 00:00:00+00:00,12.076,9.976,0.394,1.4,9297.04
2003-02-02 00:00:00+00:00,11.326,9.626,0.396,1.2,9859.37
2003-02-09 00:00:00+00:00,9.876,9.276,0.397,1.1,9450.82
2003-02-16 00:00:00+00:00,6.776,8.826,0.398,0.4,9826.37
2003-02-23 00:00:00+00:00,10.576,8.476,0.398,0.0,9913.42
2003-03-02 00:00:00+00:00,11.926,8.026,0.398,1.5,9291.96
2003-03-09 00:00:00+00:00,12.276,7.776,0.397,1.8,8680.77
2003-03-16 00:00:00+00:00,11.476,7.676,0.396,0.2,8765.25
2003-03-23 00:00:00+00:00,12.576,7.676,0.395,0.0,8982.13
2003-03-30 00:00:00+00:00,14.376,7.676,0.393,0.0,8560.53
2003-04-06 00:00:00+00:00,13.876,7.776,0.391,1.4,8600.42
2003-04-13 00:00:00+00:00,11.676,7.826,0.389,0.4,9056.22
2003-04-20 00:00:00+00:00,14.926,7.926,0.387,1.2,8991.43
2003-04-27 00:00:00+00:00,15.376,8.176,0.384,2.3,8489.0
2003-05-04 00:00:00+00:00,19.675999,8.476,0.382,1.2,9173.28
2003-05-11 00:00:00+00:00,15.976,8.876,0.379,0.8,8977.41
2003-05-18 00:00:00+00:00,15.476,9.226,0.376,1.6,8838.59
2003-05-25 00:00:00+00:00,17.026,9.526,0.374,0.7,9492.34
2003-06-01 00:00:00+00:00,20.075998,9.926,0.371,1.0,9128.03
2003-06-08 00:00:00+00:00,20.175999,10.476,0.368,2.5,9858.26
2003-06-15 00:00:00+00:00,21.126,11.026,0.366,0.5,9908.43
2003-06-22 00:00:00+00:00,23.425999,11.576,0.363,2.8,10571.6
2003-06-29 00:00:00+00:00,21.276,12.176,0.36,2.8,8909.66
2003-07-06 00:00:00+00:00,19.175999,12.676,0.358,2.3,10278.63
2003-07-13 00:00:00+00:00,25.575998,13.176,0.356,0.2,10182.67
2003-07-20 00:00:00+00:00,25.526,13.726,0.353,1.7,10146.87
2003-07-27 00:00:00+00:00,21.526,14.276,0.35,3.4,9699.74
2003-08-03 00:00:00+00:00,21.325998,14.676,0.348,1.4,12187.77
2003-08-10 00:00:00+00:00,28.075998,15.126,0.346,0.0,12532.98
2003-08-17 00:00:00+00:00,26.526,15.726,0.344,0.6,11906.32
2003-08-24 00:00:00+00:00,24.126,16.175999,0.342,0.2,10751.91
2003-08-31 00:00:00+00:00,19.425999,16.476,0.34,0.6,10484.65
2003-09-07 00:00:00+00:00,20.825998,16.675999,0.338,0.5,9678.37
2003-09-14 00:00:00+00:00,19.726,16.776,0.336,1.0,10783.99
2003-09-21 00:00:00+00:00,24.626,16.876,0.334,0.0,10645.14
2003-09-28 00:00:00+00:00,20.376,16.925999,0.332,2.5,9964.98
2003-10-05 00:00:00+00:00,17.925999,16.925999,0.331,1.5,10057.78
2003-10-12 00:00:00+00:00,17.626,16.876,0.329,0.7,9893.58
2003-10-19 00:00:00+00:00,13.426,16.675999,0.328,0.1,9764.38
2003-10-26 00:00:00+00:00,10.776,16.476,0.326,0.9,9875.46
2003-11-02 00:00:00+00:00,12.976,16.075998,0.325,2.3,9739.16
2003-11-09 00:00:00+00:00,14.176,15.576,0.324,0.2,9575.6
2003-11-16 00:00:00+00:00,13.226,15.126,0.323,0.7,9746.18
2003-11-23 00:00:00+00:00,14.326,14.726,0.322,2.1,9855.45
2003-11-30 00:00:00+00:00,11.576,14.376,0.322,3.7,9724.84
2003-12-07 00:00:00+00:00,11.076,13.926,0.323,0.8,9697.19
2003-12-14 00:00:00+00:00,12.826,13.476,0.324,1.9,9991.66
2003-12-21 00:00:00+00:00,11.526,12.926,0.328,1.7,10095.23
2003-12-28 00:00:00+00:00,10.426,12.376,0.331,1.6,9809.98
2004-01-04 00:00:00+00:00,7.276,11.776,0.337,1.6,10513.01
2004-01-11 00:00:00+00:00,11.076,11.226,0.343,2.5,9077.58
2004-01-18 00:00:00+00:00,10.126,10.726,0.351,2.1,9283.81
2004-01-25 00:00:00+00:00,10.326,10.326,0.357,1.1,9276.55
2004-02-01 00:00:00+00:00,11.226,9.926,0.364,2.2,9264.28
2004-02-08 00:00:00+00:00,14.276,9.526,0.372,1.7,8969.38
2004-02-15 00:00:00+00:00,10.326,9.326,0.376,0.2,8940.36
2004-02-22 00:00:00+00:00,8.226,9.126,0.378,0.7,9129.83
2004-02-29 00:00:00+00:00,5.526,8.876,0.379,0.6,8788.21
2004-03-07 00:00:00+00:00,8.926,8.476,0.379,0.6,8599.29
2004-03-14 00:00:00+00:00,10.876,8.076,0.379,1.0,8509.21
2004-03-21 00:00:00+00:00,15.126,7.776,0.379,1.1,8252.86
2004-03-28 00:00:00+00:00,10.126,7.726,0.378,0.9,7421.93
2004-04-04 00:00:00+00:00,13.176,7.776,0.378,1.4,7935.38
2004-04-11 00:00:00+00:00,11.226,7.876,0.378,1.5,7869.44
2004-04-18 00:00:00+00:00,14.776,8.026,0.377,1.4,7896.37
2004-04-25 00:00:00+00:00,16.526,8.226,0.376,0.6,7927.03
2004-05-02 00:00:00+00:00,16.575998,8.526,0.375,1.5,7652.21
2004-05-09 00:00:00+00:00,13.926,8.776,0.374,2.4,7272.63
2004-05-16 00:00:00+00:00,17.726,9.076,0.373,0.1,7919.5
2004-05-23 00:00:00+00:00,20.526,9.526,0.372,1.4,7828.16
2004-05-30 00:00:00+00:00,18.876,9.926,0.371,1.4,7947.95
2004-06-06 00:00:00+00:00,19.976,10.326,0.37,0.7,8989.89
2004-06-13 00:00:00+00:00,24.825998,10.876,0.368,0.6,9419.4
2004-06-20 00:00:00+00:00,24.276,11.476,0.366,0.9,8289.2
2004-06-27 00:00:00+00:00,20.675999,11.926,0.364,3.7,9290.85
2004-07-04 00:00:00+00:00,20.626,12.326,0.362,1.2,8632.25
2004-07-11 00:00:00+00:00,18.425999,12.726,0.359,4.5,8358.62
2004-07-18 00:00:00+00:00,22.126,13.026,0.357,1.6,8539.51
2004-07-25 00:00:00+00:00,22.376,13.476,0.355,2.4,9657.93
2004-08-01 00:00:00+00:00,22.976,13.926,0.353,0.3,10038.05
2004-08-08 00:00:00+00:00,23.575998,14.476,0.351,0.9,9382.88
2004-08-15 00:00:00+00:00,23.126,14.976,0.349,3.7,8835.07
2004-08-22 00:00:00+00:00,22.476,15.426,0.347,2.3,8515.11
2004-08-29 00:00:00+00:00,20.276,15.676,0.345,2.4,8884.14
2004-09-05 00:00:00+00:00,23.476,15.826,0.344,0.0,9155.43
2004-09-12 00:00:00+00:00,21.075998,16.075998,0.342,0.7,8723.42
2004-09-19 00:00:00+00:00,19.726,16.175999,0.34,3.2,8642.97
2004-09-26 00:00:00+00:00,17.626,16.175999,0.339,0.7,8565.16
2004-10-03 00:00:00+00:00,17.776,16.175999,0.337,1.2,8219.33
2004-10-10 00:00:00+00:00,16.825998,16.075998,0.336,0.7,8219.76
2004-10-17 00:00:00+00:00,15.526,15.976,0.335,2.2,8542.48
2004-10-24 00:00:00+00:00,17.376,15.726,0.334,2.3,8475.42
2004-10-31 00:00:00+00:00,15.176,15.426,0.333,1.6,8452.75
2004-11-07 00:00:00+00:00,13.876,15.226,0.332,1.1,9095.71
2004-11-14 00:00:00+00:00,12.176,14.926,0.331,1.4,8148.45
2004-11-21 00:00:00+00:00,12.776,14.576,0.33,3.8,8621.12
2004-11-28 00:00:00+00:00,12.426,14.076,0.33,0.4,7926.49
2004-12-05 00:00:00+00:00,10.326,13.576,0.33,0.2,7977.95
2004-12-12 00:00:00+00:00,10.376,13.026,0.33,0.0,8364.94
2004-12-19 00:00:00+00:00,10.926,12.526,0.33,3.6,8380.6
2004-12-26 00:00:00+00:00,11.626,12.026,0.33,1.4,8634.66
2005-01-02 00:00:00+00:00,11.026,11.526,0.331,2.5,8993.72
2005-01-09 00:00:00+00:00,11.876,11.026,0.332,0.9,8334.27
2005-01-16 00:00:00+00:00,11.976,10.626,0.333,2.4,8760.74
2005-01-23 00:00:00+00:00,11.826,10.376,0.334,0.9,8965.19
2005-01-30 00:00:00+00:00,7.076,10.026,0.336,0.4,8941.72
2005-02-06 00:00:00+00:00,9.476,9.626,0.338,0.4,8636.94
2005-02-13 00:00:00+00:00,11.426,9.276,0.339,1.3,8651.86
2005-02-20 00:00:00+00:00,7.726,9.026,0.342,0.5,8801.46
2005-02-27 00:00:00+00:00,5.926,8.726,0.344,0.7,9071.37
2005-03-06 00:00:00+00:00,5.926,8.326,0.347,1.5,9055.32
2005-03-13 00:00:00+00:00,8.576,7.826,0.35,0.4,9294.14
2005-03-20 00:00:00+00:00,15.476,7.426,0.352,0.2,8983.71
2005-03-27 00:00:00+00:00,13.476,7.426,0.353,0.9,8754.69
2005-04-03 00:00:00+00:00,16.175999,7.576,0.353,1.4,8088.75
2005-04-10 00:00:00+00:00,12.276,7.776,0.354,0.8,8150.08
2005-04-17 00:00:00+00:00,14.226,7.876,0.354,1.1,8160.15
2005-04-24 00:00:00+00:00,12.926,8.026,0.354,1.5,8042.76
2005-05-01 00:00:00+00:00,21.675999,8.276,0.354,1.1,8090.47
