date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-0.424,4.080167,8.726,10.876,11.196535,11.526,0.363,0.36432144,0.365,0.0,0.041666668,1.1
2002-01-06 00:00:00+00:00,-0.824,2.7998097,6.676,10.176,10.525107,10.876,0.364,0.36434522,0.365,0.0,0.005952381,0.2
2002-01-13 00:00:00+00:00,2.626,5.1257024,9.176,9.576,9.864691,10.176,0.365,0.365,0.365,0.0,0.01547619,0.6
2002-01-20 00:00:00+00:00,2.076,7.3730235,11.526,9.226,9.381655,9.576,0.365,0.3659107,0.366,0.0,0.08095238,1.0
2002-01-27 00:00:00+00:00,3.826,9.052786,12.676,8.976,9.081655,9.176,0.366,0.3671131,0.368,0.0,0.23690476,1.8
2002-02-03 00:00:00+00:00,6.376,10.547131,12.526,8.926,8.941178,8.976,0.369,0.37131548,0.374,0.0,0.09166666,2.3
2002-02-10 00:00:00+00:00,3.426,8.829572,11.526,8.926,8.926,8.926,0.374,0.37680954,0.38,0.0,0.14226191,2.5
2002-02-17 00:00:00+00:00,1.926,7.1370125,12.376,8.876,8.913202,8.926,0.38,0.38230357,0.384,0.0,0.03452381,0.5
2002-02-24 00:00:00+00:00,2.326,6.7902856,11.826,8.726,8.797131,8.876,0.384,0.38473216,0.386,0.0,0.12321429,1.5
2002-03-03 00:00:00+00:00,1.576,6.5953455,11.426,8.576,8.638798,8.726,0.386,0.38707143,0.389,0.0,0.09940477,1.9
2002-03-10 00:00:00+00:00,3.776,8.370345,12.726,8.426,8.474215,8.576,0.389,0.389,0.389,0.0,0.004761905,0.3
2002-03-17 00:00:00+00:00,4.576,7.847429,12.576,8.376,8.39475,8.426,0.389,0.389,0.389,0.0,0.18511905,1.9
2002-03-24 00:00:00+00:00,5.626,9.243857,13.226,8.326,8.367072,8.376,0.389,0.3896131,0.391,0.0,0.08928572,2.2
2002-03-31 00:00:00+00:00,4.926,8.146536,14.326,8.376,8.404869,8.426,0.391,0.39100003,0.391,0.0,0.0011904762,0.2
2002-04-07 00:00:00+00:00,6.326,9.681654,13.776,8.426,8.464095,8.526,0.39,0.39036906,0.391,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,3.826,7.489988,10.326,8.526,8.576298,8.626,0.389,0.38934523,0.39,0.0,0.010714285,0.2
2002-04-21 00:00:00+00:00,4.926,9.376595,15.576,8.626,8.642369,8.676,0.387,0.38755953,0.389,0.0,0.02202381,0.7
2002-04-28 00:00:00+00:00,7.376,12.134035,19.075998,8.676,8.803083,8.926,0.384,0.3854881,0.387,0.0,0.079166666,1.6
2002-05-05 00:00:00+00:00,5.726,9.531654,13.776,8.926,9.060822,9.176,0.382,0.38316074,0.384,0.0,0.10654762,1.4
2002-05-12 00:00:00+00:00,7.876,11.523024,14.976,9.176,9.262309,9.376,0.38,0.38092858,0.382,0.0,0.039285712,0.6
2002-05-19 00:00:00+00:00,9.376,13.411416,17.175999,9.376,9.505465,9.676,0.378,0.3787738,0.38,0.0,0.105952375,2.2
2002-05-26 00:00:00+00:00,9.776,13.63106,17.126,9.676,9.85219,10.026,0.375,0.37642854,0.378,0.0,0.13869049,2.3
2002-06-02 00:00:00+00:00,8.326,13.1995125,19.175999,10.026,10.2135,10.376,0.373,0.37418452,0.375,0.0,0.05833333,2.1
2002-06-09 00:00:00+00:00,10.826,13.849512,18.226,10.376,10.554571,10.726,0.371,0.37207738,0.373,0.0,0.20595238,3.4
2002-06-16 00:00:00+00:00,11.076,14.976,20.626,10.726,10.901298,11.076,0.369,0.3703095,0.371,0.0,0.098809525,1.5
2002-06-23 00:00:00+00:00,12.376,16.512608,23.876,11.076,11.298917,11.526,0.368,0.3685,0.369,0.0,0.0375,1.7
2002-06-30 00:00:00+00:00,10.476,15.523915,21.126,11.526,11.76975,11.976,0.366,0.36656547,0.368,0.0,0.011309524,0.8
2002-07-07 00:00:00+00:00,11.676,14.747428,18.575998,12.026,12.198024,12.376,0.364,0.36457142,0.366,0.0,0.20416667,2.4
2002-07-14 00:00:00+00:00,11.826,15.671237,20.226,12.376,12.528679,12.676,0.362,0.36292857,0.364,0.0,0.04761905,1.0
2002-07-21 00:00:00+00:00,12.076,16.295643,20.325998,12.676,12.875405,13.076,0.36,0.3610357,0.362,0.0,0.011904762,1.0
2002-07-28 00:00:00+00:00,12.326,18.339094,24.626,13.076,13.273024,13.476,0.358,0.35916072,0.36,0.0,0.008333334,0.3
2002-08-04 00:00:00+00:00,13.926,18.05844,22.726,13.476,13.734929,13.976,0.356,0.3572143,0.358,0.0,0.13095239,1.3
2002-08-11 00:00:00+00:00,13.476,17.393559,22.325998,13.976,14.212011,14.426,0.354,0.35534522,0.356,0.0,0.12559524,1.6
2002-08-18 00:00:00+00:00,14.326,19.74713,25.175999,14.426,14.618559,14.826,0.353,0.3535,0.354,0.0,0.011309524,0.7
2002-08-25 00:00:00+00:00,13.526,17.802786,22.776,14.826,15.051893,15.276,0.351,0.35152382,0.352,0.0,0.0077380957,0.3
2002-09-01 00:00:00+00:00,13.376,17.619452,22.276,15.276,15.437905,15.626,0.349,0.34967262,0.351,0.0,0.007738095,0.2
2002-09-08 00:00:00+00:00,13.826,17.332249,21.376,15.626,15.750999,15.876,0.347,0.34780952,0.349,0.0,0.051785715,1.1
2002-09-15 00:00:00+00:00,12.726,16.528976,19.726,15.876,15.980761,16.075998,0.345,0.34622023,0.347,0.0,0.102380954,2.9
2002-09-22 00:00:00+00:00,12.226,15.243559,17.776,16.075998,16.115582,16.175999,0.344,0.34452382,0.345,0.0,0.0,0.0
2002-09-29 00:00:00+00:00,10.626,14.193262,17.976,16.126,16.168558,16.175999,0.342,0.34297022,0.344,0.0,0.03630952,1.1
2002-10-06 00:00:00+00:00,10.926,15.004572,19.325998,16.075998,16.114986,16.126,0.341,0.3414881,0.342,0.0,0.022619048,0.4
2002-10-13 00:00:00+00:00,7.676,12.080762,14.726,15.976,16.034035,16.075998,0.339,0.34011903,0.341,0.0,0.110119045,2.3
2002-10-20 00:00:00+00:00,4.376,9.903381,14.726,15.676,15.835227,15.976,0.338,0.3387738,0.339,0.0,0.10119048,1.9
2002-10-27 00:00:00+00:00,5.526,11.960524,15.726,15.326,15.495941,15.676,0.337,0.3376488,0.338,0.0,0.13154761,2.4
