date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-1.294,3.5503452,8.5060005,10.356,10.709869,11.056,0.324,0.32425594,0.325,0.0,0.04047619,1.1
2002-01-06 00:00:00+00:00,-2.394,2.1827857,6.4560003,9.606,9.985762,10.356,0.325,0.32540476,0.326,0.0,0.0,0.0
2002-01-13 00:00:00+00:00,1.806,4.858976,9.456,9.0060005,9.288142,9.606,0.326,0.32625002,0.327,0.0,0.01607143,0.7
2002-01-20 00:00:00+00:00,1.056,7.125345,11.7560005,8.656,8.80481,9.0060005,0.327,0.327,0.327,0.0,0.05059524,0.7
2002-01-27 00:00:00+00:00,2.806,8.919095,12.906,8.456,8.528619,8.656,0.327,0.32794642,0.329,0.0,0.16607143,2.3
2002-02-03 00:00:00+00:00,5.9560003,10.555702,12.856,8.406,8.430107,8.456,0.329,0.3298869,0.331,0.0,0.09047619,2.5
2002-02-10 00:00:00+00:00,2.356,8.642607,11.7560005,8.456,8.456,8.456,0.331,0.3330893,0.335,0.0,0.09345238,1.6
2002-02-17 00:00:00+00:00,0.356,6.7878456,12.606,8.456,8.480107,8.5060005,0.335,0.33722618,0.339,0.0,0.025000002,0.6
2002-02-24 00:00:00+00:00,1.6060001,6.511953,12.056,8.306,8.3875475,8.456,0.339,0.3399226,0.341,0.0,0.10000001,1.5
2002-03-03 00:00:00+00:00,0.306,6.2634406,11.606,8.156,8.236953,8.306,0.341,0.34195834,0.343,0.0,0.071428575,1.4
2002-03-10 00:00:00+00:00,2.9559999,8.219988,12.956,8.006,8.082786,8.156,0.343,0.34380358,0.344,0.0,0.0029761905,0.5
2002-03-17 00:00:00+00:00,4.156,7.733381,12.906,8.006,8.006,8.006,0.344,0.3449881,0.345,0.0,0.16785714,1.8
2002-03-24 00:00:00+00:00,4.9560003,9.211655,13.7560005,8.006,8.011654,8.056,0.345,0.34572616,0.347,0.0,0.07261904,1.8
2002-03-31 00:00:00+00:00,4.306,7.9926076,14.656,8.056,8.074155,8.106,0.347,0.34700596,0.348,0.0,0.0035714288,0.2
2002-04-07 00:00:00+00:00,5.406,9.644095,14.2560005,8.106,8.156298,8.2560005,0.347,0.34749404,0.348,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,2.9559999,7.221179,10.706,8.2560005,8.289631,8.306,0.347,0.347,0.347,0.0,0.004761905,0.2
2002-04-21 00:00:00+00:00,3.906,9.263738,16.006,8.306,8.3667145,8.406,0.346,0.34621426,0.347,0.0,0.02857143,0.4
2002-04-28 00:00:00+00:00,6.756,12.175643,19.506,8.406,8.527429,8.656,0.345,0.34521428,0.346,0.0,0.058928568,1.3
2002-05-05 00:00:00+00:00,4.856,9.284869,13.7560005,8.656,8.803619,8.906,0.343,0.3439524,0.345,0.0,0.13928571,4.1
