date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-3.4164999,1.609393,7.8835,7.9335003,8.229631,8.5335,0.385,0.38507143,0.386,0.0,0.042857144,0.6
2002-01-06 00:00:00+00:00,-7.3164997,-0.7545952,5.3835,7.2335,7.5707026,7.9335003,0.386,0.386,0.386,0.0,0.005357143,0.4
2002-01-13 00:00:00+00:00,-0.6665,3.8108811,9.5335,6.5335,6.868619,7.2335,0.386,0.386,0.386,0.0,0.015476191,0.6
2002-01-20 00:00:00+00:00,1.5835,6.1385593,9.8335,6.2335,6.3653455,6.5335,0.386,0.386,0.386,0.0,0.061904766,1.4
2002-01-27 00:00:00+00:00,-3.0165,6.4921308,11.6335,6.0835,6.154631,6.2335,0.386,0.386,0.386,0.0,0.10952381,1.7
2002-02-03 00:00:00+00:00,4.0335,7.9867735,11.6835,6.0835,6.0835,6.0835,0.386,0.38625,0.388,0.0,0.23333333,2.6
2002-02-10 00:00:00+00:00,1.4334999,6.387667,10.2835,6.0835,6.0835,6.0835,0.388,0.3916905,0.395,0.0,0.1529762,1.9
2002-02-17 00:00:00+00:00,-1.8165001,5.467131,10.5835,6.0335,6.0751667,6.0835,0.395,0.3981607,0.401,0.0,0.06964286,1.0
2002-02-24 00:00:00+00:00,-1.7665001,3.473381,9.5835,5.9335003,5.9918337,6.0335,0.401,0.4013869,0.402,0.0,0.11071429,1.9
2002-03-03 00:00:00+00:00,-0.8665,3.6007621,8.4835005,5.6835003,5.8096905,5.9335003,0.402,0.4048155,0.408,0.0,0.24345239,3.8
2002-03-10 00:00:00+00:00,0.9835,6.1123695,10.3335,5.5835,5.610881,5.6835003,0.408,0.4087262,0.409,0.0,0.077380955,1.2
2002-03-17 00:00:00+00:00,-2.8165,4.189452,11.7335005,5.4335003,5.5177264,5.5835,0.408,0.40800595,0.409,0.0,0.086904764,0.7
2002-03-24 00:00:00+00:00,2.6335,7.2843933,11.7335005,5.4335003,5.4335003,5.4335003,0.407,0.40734524,0.408,0.0,0.060714286,1.3
2002-03-31 00:00:00+00:00,-1.5665001,6.856417,12.9335,5.4335003,5.5114765,5.5835,0.405,0.40609524,0.407,0.0,0.0017857144,0.2
2002-04-07 00:00:00+00:00,-0.31649998,7.006715,15.3835,5.5835,5.6516547,5.7335,0.403,0.40429765,0.405,0.0,0.011309524,0.8
