date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-2.0405002,2.5663452,8.7095,9.5095005,9.748191,10.0095005,0.47,0.4702738,0.471,0.0,0.04404762,0.6
2002-01-06 00:00:00+00:00,-4.6905,0.19700003,5.8095,8.9095,9.205333,9.5095005,0.471,0.47136906,0.472,0.0,0.008333333,0.4
2002-01-13 00:00:00+00:00,0.9095,4.5118814,9.9095,8.3595,8.615155,8.9095,0.472,0.47201788,0.473,0.0,0.015476191,0.4
2002-01-20 00:00:00+00:00,2.4594998,6.6437263,11.3595,8.0095,8.166643,8.3595,0.473,0.473,0.473,0.0,0.033928573,0.8
2002-01-27 00:00:00+00:00,-1.6405,7.362179,12.2095,7.8095,7.9023576,8.0095,0.473,0.473,0.473,0.0,0.10297619,1.3
2002-02-03 00:00:00+00:00,4.8095,9.048786,13.1595,7.7095003,7.7464046,7.8095,0.473,0.47405952,0.476,0.0,0.16369048,1.4
2002-02-10 00:00:00+00:00,2.4594998,7.280036,11.2095,7.6595,7.676464,7.7095003,0.476,0.47810712,0.48,0.0,0.1297619,2.2
2002-02-17 00:00:00+00:00,1.3594999,6.266048,11.5095005,7.5595,7.6124763,7.6595,0.48,0.4813869,0.483,0.0,0.067261904,0.9
2002-02-24 00:00:00+00:00,-1.1405,4.4847975,10.1595,7.4595003,7.517833,7.5595,0.483,0.4833095,0.484,0.0,0.08571429,1.7
2002-03-03 00:00:00+00:00,0.10949999,4.580929,9.2595005,7.2595,7.3523574,7.4595003,0.484,0.48736903,0.49,0.0,0.18571429,2.7
2002-03-10 00:00:00+00:00,1.8595,6.975869,11.5095005,7.1095,7.1621785,7.2595,0.49,0.49,0.49,0.0,0.075,2.5
2002-03-17 00:00:00+00:00,1.7095,5.8100953,11.8095,6.9595003,7.044024,7.1095,0.49,0.49,0.49,0.0,0.06011905,0.9
2002-03-24 00:00:00+00:00,1.9095,7.6663456,12.7095,6.9595003,6.9595003,6.9595003,0.489,0.4896012,0.49,0.0,0.041666668,1.1
