date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-4.3,1.3714285,7.6,7.55,7.8818455,8.2,0.384,0.38498217,0.385,0.0,0.03452381,0.6
2002-01-06 00:00:00+00:00,-7.45,-1.1741072,5.1,6.85,7.2157736,7.55,0.385,0.38545832,0.386,0.0,0.004761905,0.3
2002-01-13 00:00:00+00:00,-1.0,3.4032738,9.1,6.2,6.5050592,6.85,0.386,0.386,0.386,0.0,0.017261906,0.6
2002-01-20 00:00:00+00:00,1.25,5.85,9.7,5.85,5.9886904,6.2,0.385,0.38570836,0.386,0.0,0.065476194,1.2
2002-01-27 00:00:00+00:00,-3.1,6.2699404,11.25,5.7,5.774405,5.85,0.385,0.385,0.385,0.0,0.116071425,1.6
2002-02-03 00:00:00+00:00,3.85,7.7922616,11.4,5.7,5.7,5.7,0.385,0.38653573,0.389,0.0,0.25238097,2.2
2002-02-10 00:00:00+00:00,1.05,6.171726,9.95,5.7,5.7,5.7,0.389,0.39375,0.398,0.0,0.17083333,2.2
2002-02-17 00:00:00+00:00,-2.35,5.1083336,10.35,5.7,5.7,5.7,0.398,0.40123808,0.404,0.0,0.08988096,1.2
2002-02-24 00:00:00+00:00,-2.05,3.3181548,9.3,5.55,5.6360116,5.7,0.404,0.40454763,0.405,0.0,0.12916668,2.0
2002-03-03 00:00:00+00:00,-1.45,3.3934522,8.15,5.35,5.4595237,5.55,0.405,0.40783927,0.411,0.0,0.22321428,3.0
2002-03-10 00:00:00+00:00,0.75,5.85625,10.05,5.25,5.2732143,5.35,0.411,0.411,0.411,0.0,0.1077381,2.1
2002-03-17 00:00:00+00:00,-3.05,3.9083333,11.5,5.1,5.1806545,5.25,0.41,0.41043454,0.411,0.0,0.086904764,0.8
2002-03-24 00:00:00+00:00,2.15,7.058036,11.6,5.1,5.1,5.1,0.409,0.4094405,0.41,0.0,0.055357143,1.0
2002-03-31 00:00:00+00:00,-1.45,6.383929,12.8,5.1,5.1851187,5.25,0.407,0.40798214,0.409,0.0,0.0005952381,0.1
2002-04-07 00:00:00+00:00,-0.95,6.674702,15.3,5.25,5.315179,5.4,0.405,0.40599406,0.407,0.0,0.008928572,0.7
