date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-1.3844999,3.056869,8.3654995,10.065499,10.380976,10.7155,0.352,0.3527619,0.353,0.0,0.03511905,0.6
2002-01-06 00:00:00+00:00,-2.5845,1.9354404,5.8655,9.315499,9.670262,10.065499,0.353,0.35411906,0.355,0.0,0.0005952381,0.1
2002-01-13 00:00:00+00:00,1.5155001,4.402405,8.1154995,8.6655,8.976213,9.2655,0.355,0.355,0.355,0.0,0.014285715,0.6
2002-01-20 00:00:00+00:00,0.7655,6.4119287,11.2655,8.315499,8.480381,8.6655,0.355,0.35590476,0.356,0.0,0.08392857,0.9
2002-01-27 00:00:00+00:00,1.0655,8.145857,12.2155,8.065499,8.180976,8.315499,0.356,0.35660118,0.357,0.0,0.14821428,1.8
2002-02-03 00:00:00+00:00,5.5655003,10.007762,12.2655,8.0155,8.047048,8.065499,0.357,0.3580893,0.359,0.0,0.08214286,2.4
2002-02-10 00:00:00+00:00,1.8655001,8.117881,11.4155,8.065499,8.065499,8.065499,0.359,0.36005953,0.361,0.0,0.08452381,1.3
2002-02-17 00:00:00+00:00,-0.9845,6.268476,12.5155,8.0155,8.0634165,8.065499,0.361,0.36238095,0.363,0.0,0.01547619,0.9
2002-02-24 00:00:00+00:00,0.6655,5.762821,11.315499,7.8655,7.955381,8.0155,0.363,0.364,0.365,0.0,0.09940477,1.3
2002-03-03 00:00:00+00:00,0.1655,5.5696664,11.065499,7.7155004,7.7893095,7.8655,0.365,0.3653631,0.366,0.0,0.08809524,1.8
2002-03-10 00:00:00+00:00,2.1655,7.728595,11.8654995,7.5655003,7.610143,7.7155004,0.366,0.36666074,0.367,0.0,0.0,0.0
2002-03-17 00:00:00+00:00,3.3155,7.1006193,11.4655,7.5155,7.5354404,7.5655003,0.367,0.367,0.367,0.0,0.122023806,1.1
2002-03-24 00:00:00+00:00,3.6155,8.308655,13.6154995,7.5155,7.5205593,7.5655003,0.367,0.36739287,0.368,0.0,0.09761904,2.2
2002-03-31 00:00:00+00:00,3.8655,7.3529997,12.4155,7.5655003,7.5655003,7.5655003,0.368,0.368,0.368,0.0,0.011309524,0.4
2002-04-07 00:00:00+00:00,4.4655004,8.865202,13.0155,7.5655003,7.6280003,7.7155004,0.368,0.368,0.368,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,3.1655,6.735143,9.6154995,7.7155004,7.747048,7.7655,0.367,0.3670655,0.368,0.0,0.006547619,0.2
2002-04-21 00:00:00+00:00,3.3155,8.311333,13.9155,7.7655,7.800917,7.8655,0.366,0.36666074,0.367,0.0,0.010714286,0.5
2002-04-28 00:00:00+00:00,6.2155004,11.47175,18.115501,7.8655,7.950917,8.065499,0.365,0.36567858,0.366,0.0,0.06488095,1.3
2002-05-05 00:00:00+00:00,5.1655,8.828298,13.065499,8.065499,8.207167,8.315499,0.364,0.3646607,0.365,0.0,0.13214286,2.0
2002-05-12 00:00:00+00:00,8.2655,10.834547,14.815499,8.315499,8.406273,8.5155,0.363,0.3635714,0.364,0.0,0.008333333,0.4
2002-05-19 00:00:00+00:00,8.815499,13.072346,17.015501,8.5155,8.669964,8.8654995,0.362,0.36243454,0.363,0.0,0.092857145,1.8
2002-05-26 00:00:00+00:00,9.4155,13.256572,16.4655,8.8654995,9.0529995,9.2655,0.36,0.36101785,0.362,0.0,0.13392857,1.6
2002-06-02 00:00:00+00:00,7.4155,12.804488,18.1655,9.2655,9.443476,9.6154995,0.359,0.35955954,0.36,0.0,0.02440476,0.5
2002-06-09 00:00:00+00:00,10.7155,14.085142,18.1655,9.6154995,9.820857,10.0155,0.357,0.35809523,0.359,0.0,0.13571428,2.3
2002-06-16 00:00:00+00:00,9.7155,14.756869,19.365501,10.0155,10.226809,10.4155,0.356,0.35655951,0.357,0.0,0.06904762,1.5
2002-06-23 00:00:00+00:00,11.7155,16.327406,22.865501,10.4155,10.67175,10.9155,0.354,0.355,0.356,0.0,0.10178572,2.9
2002-06-30 00:00:00+00:00,9.6655,15.064309,20.9155,10.9155,11.160738,11.4155,0.352,0.3532619,0.354,0.0,0.019642856,0.8
2002-07-07 00:00:00+00:00,10.8654995,14.439905,18.4655,11.4155,11.589607,11.7655,0.351,0.35150596,0.352,0.0,0.14940476,2.0
