date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-1.5245,3.3656788,8.4755,10.6755,10.993654,11.3255,0.395,0.395,0.395,0.0,0.04047619,1.0
2002-01-06 00:00:00+00:00,-3.9245,1.5323452,6.4255,9.9755,10.335619,10.6755,0.395,0.39566073,0.396,0.0,0.0,0.0
2002-01-13 00:00:00+00:00,0.62549996,4.6186547,9.8755,9.3755,9.674012,9.9755,0.396,0.396,0.396,0.0,0.01904762,0.8
2002-01-20 00:00:00+00:00,0.12550001,7.043357,11.8755,9.0255,9.184726,9.3755,0.396,0.3969524,0.397,0.0,0.04761905,0.9
2002-01-27 00:00:00+00:00,2.4754999,8.983536,13.1755,8.7755,8.883833,8.9755,0.397,0.39737502,0.398,0.0,0.16011904,1.6
2002-02-03 00:00:00+00:00,5.6755,10.664488,13.1755,8.7255,8.744548,8.7755,0.398,0.39881548,0.4,0.0,0.10714286,2.5
2002-02-10 00:00:00+00:00,1.7255,8.615976,12.0255,8.7255,8.7255,8.7255,0.4,0.4018095,0.404,0.0,0.09404762,1.9
2002-02-17 00:00:00+00:00,-0.97449994,6.574012,12.6755,8.6755,8.725203,8.7255,0.404,0.40551192,0.407,0.0,0.027976189,1.0
2002-02-24 00:00:00+00:00,1.2755,6.5103216,12.2755,8.5755,8.626393,8.6755,0.407,0.4076964,0.409,0.0,0.086904764,1.2
2002-03-03 00:00:00+00:00,-0.42450002,6.1359167,11.8755,8.4255,8.480262,8.5755,0.409,0.40945834,0.41,0.0,0.07619048,1.4
2002-03-10 00:00:00+00:00,2.4754999,8.1862135,13.2255,8.2755,8.321928,8.4255,0.41,0.41092265,0.412,0.0,0.0023809525,0.3
2002-03-17 00:00:00+00:00,3.7754998,7.8094287,13.3255,8.2255,8.237107,8.2755,0.412,0.41200003,0.412,0.0,0.17797619,1.9
2002-03-24 00:00:00+00:00,4.0755,9.365084,14.0755,8.1755,8.198417,8.2255,0.412,0.41358334,0.415,0.0,0.077380955,2.3
2002-03-31 00:00:00+00:00,2.7754998,7.9618096,15.3255,8.2255,8.250203,8.2755,0.415,0.41554165,0.416,0.0,0.0029761905,0.3
2002-04-07 00:00:00+00:00,5.0755,9.829964,16.2255,8.2755,8.306749,8.3755,0.416,0.416,0.416,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,2.8255,7.2091312,11.1755,8.3755,8.410619,8.4255,0.415,0.41567856,0.416,0.0,0.008333333,0.3
2002-04-21 00:00:00+00:00,3.1255,9.400499,16.5755,8.4255,8.470143,8.5255,0.415,0.41500002,0.415,0.0,0.032738097,0.9
2002-04-28 00:00:00+00:00,6.4755,12.233537,19.775501,8.5255,8.601095,8.7255,0.414,0.4140655,0.415,0.0,0.073214285,2.4
2002-05-05 00:00:00+00:00,4.1755,9.262107,14.0755,8.7255,8.827583,8.9255,0.413,0.41303572,0.414,0.0,0.1297619,2.4
