date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-3.8194997,1.1171072,7.2805,7.5305,7.843595,8.1805,0.396,0.396,0.396,0.0,0.06607143,0.8
2002-01-06 00:00:00+00:00,-7.1695004,-0.80640477,5.1305,6.8805,7.198952,7.5305,0.396,0.396,0.396,0.0,0.0035714288,0.3
2002-01-13 00:00:00+00:00,-0.76949996,3.6471667,9.0805,6.2304997,6.527524,6.8805,0.395,0.3954762,0.396,0.0,0.019642858,0.8
2002-01-20 00:00:00+00:00,1.0805,5.674845,9.1805,5.8805,6.026631,6.2304997,0.395,0.395,0.395,0.0,0.083333336,1.4
2002-01-27 00:00:00+00:00,-2.7695,5.994488,10.9805,5.7304997,5.8120475,5.8805,0.395,0.395,0.395,0.0,0.14285715,1.8
2002-02-03 00:00:00+00:00,3.4805,7.3471665,10.9805,5.7304997,5.7304997,5.7304997,0.395,0.3964881,0.401,0.0,0.28214288,2.7
2002-02-10 00:00:00+00:00,0.93050003,5.797762,9.780499,5.6805,5.71175,5.7304997,0.401,0.40551192,0.409,0.0,0.20833333,1.8
2002-02-17 00:00:00+00:00,-2.4694998,5.02544,9.9805,5.6805,5.6805,5.6805,0.409,0.4124167,0.414,0.0,0.09464286,1.3
2002-02-24 00:00:00+00:00,-2.1195,2.8519285,9.030499,5.5305,5.6135354,5.6805,0.413,0.4133393,0.414,0.0,0.15178572,2.1
2002-03-03 00:00:00+00:00,-2.3195,3.023357,7.8805,5.2805,5.4230595,5.5305,0.413,0.41524404,0.417,0.0,0.26011905,3.9
2002-03-10 00:00:00+00:00,0.38050002,5.4980597,9.530499,5.1805,5.21294,5.2805,0.416,0.41692263,0.417,0.0,0.11071429,1.3
2002-03-17 00:00:00+00:00,-2.9194999,3.681988,11.3305,5.0305,5.1055,5.1805,0.415,0.41563097,0.416,0.0,0.09047619,1.0
2002-03-24 00:00:00+00:00,2.3805,6.9751425,11.030499,4.9804997,5.006095,5.0305,0.413,0.4139583,0.415,0.0,0.06845238,1.4
2002-03-31 00:00:00+00:00,-1.5195,6.3929996,12.6305,5.0305,5.0876427,5.1305,0.41,0.41184527,0.413,0.0,0.0,0.0
2002-04-07 00:00:00+00:00,-0.9695,6.809666,15.1305,5.1305,5.2150235,5.3304996,0.407,0.40901783,0.41,0.0,0.013095238,1.0
2002-04-14 00:00:00+00:00,-1.5195,4.8224645,10.530499,5.3304996,5.3703804,5.4305,0.404,0.40579164,0.407,0.0,0.023214286,0.3
2002-04-21 00:00:00+00:00,-2.5195,7.3766303,15.7305,5.4305,5.4489527,5.4804997,0.401,0.40249407,0.404,0.0,0.052380953,1.1
2002-04-28 00:00:00+00:00,3.0805001,9.155202,15.9805,5.4804997,5.6307974,5.7805,0.397,0.3991012,0.401,0.0,0.083333336,1.1
2002-05-05 00:00:00+00:00,1.0805,6.4456787,11.1805,5.7805,5.9057975,6.0305,0.394,0.39584523,0.397,0.0,0.086904764,1.5
2002-05-12 00:00:00+00:00,3.0305002,9.248059,17.0305,6.0305,6.122464,6.2304997,0.391,0.39289284,0.394,0.0,0.004761905,0.3
2002-05-19 00:00:00+00:00,7.2304997,11.606988,21.080502,6.2304997,6.4272256,6.6305,0.389,0.3899881,0.391,0.0,0.08035714,0.9
2002-05-26 00:00:00+00:00,5.6805,11.384369,16.3305,6.6305,6.8510356,7.0804996,0.386,0.3871845,0.389,0.0,0.21785714,3.3
2002-06-02 00:00:00+00:00,3.8805,10.990916,19.080502,7.0804996,7.2712736,7.4305,0.384,0.38481548,0.386,0.0,0.097023815,1.1
2002-06-09 00:00:00+00:00,6.5305,12.164429,18.6805,7.4305,7.6626425,7.8805,0.382,0.3826488,0.384,0.0,0.100595236,1.6
2002-06-16 00:00:00+00:00,7.5804996,11.983178,19.330502,7.8805,8.081392,8.2805,0.38,0.3808869,0.382,0.0,0.16428572,2.0
2002-06-23 00:00:00+00:00,7.3304996,13.395083,18.580502,8.2805,8.507881,8.7305,0.378,0.37910715,0.38,0.0,0.011904762,0.5
2002-06-30 00:00:00+00:00,6.7805,11.759666,15.3805,8.7305,8.965322,9.1805,0.376,0.37726787,0.378,0.0,0.046428572,0.5
2002-07-07 00:00:00+00:00,4.6805,11.465322,16.1805,9.1805,9.320381,9.4805,0.375,0.37551785,0.376,0.0,0.16488096,2.0
2002-07-14 00:00:00+00:00,6.0305,12.781988,18.980501,9.4805,9.615024,9.780499,0.373,0.3737262,0.375,0.0,0.03690476,1.4
