date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-0.1215,3.7314763,8.528501,10.528501,10.849631,11.1785,0.363,0.364,0.365,0.0,0.04107143,0.7
2002-01-06 00:00:00+00:00,-1.0715001,2.8067737,6.0785003,9.8285,10.1945715,10.528501,0.365,0.36595833,0.367,0.0,0.0011904762,0.1
2002-01-13 00:00:00+00:00,2.4785,4.802607,7.5785003,9.278501,9.549929,9.8285,0.367,0.367,0.367,0.0,0.021428572,0.7
2002-01-20 00:00:00+00:00,1.8285,6.539512,10.9285,8.8785,9.062727,9.278501,0.367,0.36725003,0.368,0.0,0.08630952,1.0
2002-01-27 00:00:00+00:00,1.9284999,8.122251,11.528501,8.6285,8.747251,8.8785,0.368,0.3682381,0.369,0.0,0.12440476,1.2
2002-02-03 00:00:00+00:00,5.9285,9.863322,11.9785,8.5785,8.591893,8.6285,0.369,0.37001786,0.371,0.0,0.08392857,2.6
2002-02-10 00:00:00+00:00,2.8285,8.163918,11.278501,8.528501,8.56719,8.5785,0.371,0.372375,0.374,0.0,0.08035714,1.5
2002-02-17 00:00:00+00:00,0.7285,6.531476,12.1785,8.4785,8.52731,8.528501,0.374,0.37495834,0.376,0.0,0.01904762,0.6
2002-02-24 00:00:00+00:00,1.6285,5.8796906,10.5785,8.3285,8.412131,8.4785,0.376,0.37642854,0.377,0.0,0.100595236,1.4
2002-03-03 00:00:00+00:00,1.2284999,5.854988,10.5785,8.1285,8.2258215,8.3285,0.377,0.3774643,0.378,0.0,0.0827381,1.2
2002-03-10 00:00:00+00:00,2.8285,7.72106,11.3285,7.9785004,8.03356,8.1285,0.378,0.37872022,0.379,0.0,0.0023809525,0.2
2002-03-17 00:00:00+00:00,3.8785,7.0517144,10.5785,7.8785,7.9389167,7.9785004,0.379,0.379,0.379,0.0,0.10595239,1.0
2002-03-24 00:00:00+00:00,4.8285003,8.183263,12.9285,7.8785,7.8820715,7.9285,0.379,0.379,0.379,0.0,0.0952381,1.9
2002-03-31 00:00:00+00:00,4.8785,7.4484406,11.5785,7.8785,7.913024,7.9285,0.379,0.379,0.379,0.0,0.008928572,0.3
2002-04-07 00:00:00+00:00,5.1785,8.686238,11.778501,7.9285,7.9475474,7.9785004,0.378,0.37808928,0.379,0.0,0.0005952381,0.1
2002-04-14 00:00:00+00:00,4.8785,6.952012,8.778501,7.9785004,8.027905,8.028501,0.377,0.37782142,0.378,0.0,0.00952381,0.2
2002-04-21 00:00:00+00:00,3.8285,8.318976,12.3785,8.028501,8.074036,8.0785,0.376,0.37688097,0.377,0.0,0.0077380957,0.5
2002-04-28 00:00:00+00:00,6.6285,11.043382,16.1285,8.0785,8.182964,8.278501,0.375,0.37572616,0.376,0.0,0.067857146,2.0
2002-05-05 00:00:00+00:00,6.3785,9.001715,12.6785,8.278501,8.3996315,8.4785,0.374,0.3745119,0.375,0.0,0.116071425,1.9
2002-05-12 00:00:00+00:00,8.4785,10.468678,14.028501,8.4785,8.574632,8.6785,0.373,0.37327975,0.374,0.0,0.0077380957,0.2
2002-05-19 00:00:00+00:00,9.7285,12.749631,15.6785,8.6785,8.806774,8.9785,0.371,0.3717738,0.373,0.0,0.09345238,1.8
2002-05-26 00:00:00+00:00,10.0785,13.122845,15.6285,8.9785,9.155286,9.3285,0.369,0.3703512,0.371,0.0,0.12440476,1.4
2002-06-02 00:00:00+00:00,8.3285,12.765406,16.7785,9.3785,9.530583,9.6785,0.368,0.368625,0.369,0.0,0.04583333,1.1
2002-06-09 00:00:00+00:00,11.3785,14.130583,18.0285,9.6785,9.901119,10.1285,0.366,0.367,0.368,0.0,0.11666667,2.4
2002-06-16 00:00:00+00:00,10.278501,14.765702,18.6785,10.1285,10.309751,10.528501,0.365,0.36541072,0.366,0.0,0.06607143,1.5
2002-06-23 00:00:00+00:00,12.4285,16.298738,21.078499,10.528501,10.760941,11.028501,0.363,0.3635774,0.365,0.0,0.08571429,2.5
2002-06-30 00:00:00+00:00,10.6285,15.063917,20.228498,11.028501,11.258559,11.4785,0.361,0.36171427,0.363,0.0,0.017857144,0.7
2002-07-07 00:00:00+00:00,11.4285,14.568381,17.728498,11.4785,11.68981,11.8785,0.359,0.3599762,0.361,0.0,0.12619048,2.3
2002-07-14 00:00:00+00:00,11.8785,15.414809,17.7785,11.8785,12.040703,12.2285,0.358,0.35845834,0.359,0.0,0.0797619,1.1
2002-07-21 00:00:00+00:00,13.0785,15.464513,17.8785,12.2285,12.400227,12.5785,0.356,0.3565357,0.358,0.0,0.061309524,1.5
2002-07-28 00:00:00+00:00,12.278501,17.72463,22.228498,12.5785,12.770166,12.9785,0.354,0.35475,0.356,0.0,0.023809524,0.8
2002-08-04 00:00:00+00:00,13.528501,17.72969,21.3785,12.9785,13.211536,13.4785,0.352,0.35297617,0.354,0.0,0.08869048,1.6
2002-08-11 00:00:00+00:00,13.6285,17.416891,19.9285,13.4785,13.6737385,13.8785,0.35,0.35135713,0.352,0.0,0.08392857,1.8
2002-08-18 00:00:00+00:00,14.3785,19.144869,22.1285,13.8785,14.087428,14.278501,0.349,0.34952977,0.35,0.0,0.005952381,0.6
2002-08-25 00:00:00+00:00,14.0785,17.335047,21.4285,14.278501,14.523738,14.7285,0.347,0.34782737,0.349,0.0,0.09940477,3.3
2002-09-01 00:00:00+00:00,14.3285,17.47969,21.978498,14.7285,14.883262,15.028501,0.345,0.34632143,0.347,0.0,0.004761905,0.2
