date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-2.941,1.9372739,8.359,8.459001,8.78906,9.109,0.36,0.3605536,0.361,0.0,0.035714287,0.6
2002-01-06 00:00:00+00:00,-6.441,-0.43236908,5.409,7.759,8.122096,8.459001,0.361,0.36222023,0.363,0.0,0.005952381,0.4
2002-01-13 00:00:00+00:00,-0.89100003,4.106024,9.859,7.1089997,7.404536,7.759,0.363,0.3634643,0.364,0.0,0.013690476,0.4
2002-01-20 00:00:00+00:00,1.909,6.299774,10.709001,6.759,6.9146547,7.1089997,0.364,0.3643631,0.365,0.0,0.039285716,0.8
2002-01-27 00:00:00+00:00,-2.691,6.8188214,12.109,6.6089997,6.682214,6.759,0.365,0.365,0.365,0.0,0.09761904,1.4
2002-02-03 00:00:00+00:00,4.1089997,8.427452,12.509001,6.559,6.5732856,6.6089997,0.365,0.3658512,0.367,0.0,0.16190477,1.8
2002-02-10 00:00:00+00:00,2.0089998,6.747393,10.759001,6.559,6.559,6.559,0.367,0.36783928,0.369,0.0,0.110119045,2.0
2002-02-17 00:00:00+00:00,0.259,5.9140596,10.959001,6.509,6.548583,6.559,0.369,0.3705893,0.372,0.0,0.05059524,0.8
2002-02-24 00:00:00+00:00,-1.841,3.9149523,10.159,6.409,6.461381,6.509,0.372,0.37293452,0.374,0.0,0.083333336,1.7
2002-03-03 00:00:00+00:00,-0.44099998,3.9878688,8.959001,6.159,6.276262,6.409,0.374,0.375875,0.379,0.0,0.21488094,3.3
2002-03-10 00:00:00+00:00,1.209,6.5566187,11.159,6.059,6.0810237,6.159,0.379,0.38053572,0.382,0.0,0.06190476,1.3
2002-03-17 00:00:00+00:00,0.209,5.1390595,11.709001,5.909,5.9834046,6.059,0.382,0.38267264,0.383,0.0,0.06666666,1.2
2002-03-24 00:00:00+00:00,1.659,7.137869,12.109,5.909,5.91525,5.959,0.383,0.38299996,0.383,0.0,0.04880952,1.1
