date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-1.3565,3.0854645,8.4935,10.143499,10.450643,10.7935,0.355,0.35516667,0.356,0.0,0.04107143,0.7
2002-01-06 00:00:00+00:00,-2.7065,1.8994524,5.8935003,9.393499,9.74975,10.0935,0.356,0.35664287,0.357,0.0,0.0011904762,0.1
2002-01-13 00:00:00+00:00,1.5435,4.4220715,8.2935,8.7935,9.0613575,9.393499,0.357,0.35744643,0.358,0.0,0.021428572,0.7
2002-01-20 00:00:00+00:00,0.7435,6.44975,11.3435,8.393499,8.564333,8.7935,0.358,0.35805357,0.359,0.0,0.08630952,1.0
2002-01-27 00:00:00+00:00,0.8435,8.1863575,12.2935,8.1935,8.267012,8.393499,0.359,0.35907143,0.36,0.0,0.12440476,1.2
2002-02-03 00:00:00+00:00,5.5435004,10.100047,12.4935,8.143499,8.145285,8.1935,0.36,0.3605,0.361,0.0,0.08392857,2.6
2002-02-10 00:00:00+00:00,1.7935,8.141714,11.643499,8.143499,8.143499,8.143499,0.361,0.36244643,0.364,0.0,0.08035714,1.5
2002-02-17 00:00:00+00:00,-1.2565,6.2723694,12.6935,8.143499,8.143499,8.143499,0.364,0.36464286,0.366,0.0,0.01904762,0.6
2002-02-24 00:00:00+00:00,0.6435,5.7366548,11.3435,7.9935,8.054512,8.143499,0.366,0.3662619,0.367,0.0,0.100595236,1.4
2002-03-03 00:00:00+00:00,0.0935,5.543798,11.0935,7.7935004,7.882786,7.9935,0.367,0.36742857,0.368,0.0,0.0827381,1.2
2002-03-10 00:00:00+00:00,1.9435,7.766119,12.0435,7.6435003,7.702131,7.7935004,0.368,0.36868453,0.369,0.0,0.0023809525,0.2
2002-03-17 00:00:00+00:00,3.0935,7.106595,11.643499,7.5935,7.6262383,7.6435003,0.369,0.369,0.369,0.0,0.10595239,1.0
2002-03-24 00:00:00+00:00,3.6935,8.315227,13.7435,7.5935,7.6036196,7.6435003,0.369,0.369,0.369,0.0,0.0952381,1.9
2002-03-31 00:00:00+00:00,3.7935,7.388738,12.6935,7.6435003,7.6435003,7.6435003,0.369,0.36995834,0.37,0.0,0.008928572,0.3
2002-04-07 00:00:00+00:00,4.3435,8.849452,13.0935,7.6435003,7.706298,7.7935004,0.369,0.36922023,0.37,0.0,0.0005952381,0.1
