date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-2.4825,2.458274,8.2675,9.5175,9.886846,10.2675,0.36,0.36045238,0.361,0.0,0.030357143,0.6
2002-01-06 00:00:00+00:00,-4.6324997,0.8657143,5.5675,8.7175,9.135654,9.5175,0.361,0.36154166,0.362,0.0,0.0,0.0
2002-01-13 00:00:00+00:00,-1.6325,3.854405,8.9675,8.0675,8.391905,8.7175,0.362,0.36230358,0.363,0.0,0.014880952,0.8
2002-01-20 00:00:00+00:00,-0.3825,6.3130355,11.617499,7.6675,7.869584,8.0675,0.363,0.363,0.363,0.0,0.06011905,0.9
2002-01-27 00:00:00+00:00,-0.1825,8.178512,12.6675,7.5175004,7.5835714,7.6675,0.363,0.36373213,0.364,0.0,0.12440476,1.8
2002-02-03 00:00:00+00:00,5.0675,10.230297,13.1675,7.4675,7.481191,7.5175004,0.364,0.36488095,0.366,0.0,0.086904764,2.5
2002-02-10 00:00:00+00:00,0.6675,8.040417,11.8175,7.5175004,7.545774,7.5675,0.366,0.36680952,0.368,0.0,0.0702381,1.0
2002-02-17 00:00:00+00:00,-2.5825,5.862143,13.0175,7.5675,7.5838695,7.6175003,0.368,0.36913094,0.37,0.0,0.021428572,1.0
2002-02-24 00:00:00+00:00,-0.2325,5.5535116,11.7175,7.4175,7.5038095,7.5675,0.37,0.3707024,0.371,0.0,0.08809524,1.2
2002-03-03 00:00:00+00:00,-1.9825001,5.1734524,11.4675,7.2675004,7.353512,7.4175,0.371,0.37191668,0.373,0.0,0.07083334,1.4
2002-03-10 00:00:00+00:00,1.1675,7.696071,13.0175,7.1175003,7.1901193,7.2675004,0.373,0.373,0.373,0.0,0.0011904762,0.1
2002-03-17 00:00:00+00:00,2.4175,7.0996428,12.6675,7.1175003,7.1175,7.1175003,0.373,0.373875,0.374,0.0,0.12321429,1.2
2002-03-24 00:00:00+00:00,1.2175,8.325833,14.3175,7.1175003,7.136845,7.1675,0.374,0.374,0.374,0.0,0.08571429,2.0
2002-03-31 00:00:00+00:00,0.3175,7.054702,14.367499,7.1675,7.216607,7.2675004,0.374,0.374,0.374,0.0,0.010714286,0.3
2002-04-07 00:00:00+00:00,3.1675,8.915714,14.5675,7.2175,7.308572,7.4175,0.374,0.374,0.374,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,1.7175,6.474941,10.4175,7.4175,7.447857,7.4675,0.373,0.37369645,0.374,0.0,0.006547619,0.2
2002-04-21 00:00:00+00:00,0.4675,8.386547,15.617499,7.4675,7.5210714,7.5675,0.372,0.37289882,0.373,0.0,0.011904762,0.5
2002-04-28 00:00:00+00:00,5.6675,11.832975,20.3675,7.5675,7.6871433,7.8675003,0.371,0.37175596,0.372,0.0,0.052976187,1.3
2002-05-05 00:00:00+00:00,3.4175,8.560357,13.617499,7.8675003,7.975536,8.0675,0.37,0.3705774,0.371,0.0,0.14345238,2.5
2002-05-12 00:00:00+00:00,7.3675003,11.140119,15.5175,8.0675,8.193988,8.3175,0.369,0.36936307,0.37,0.0,0.008333333,0.4
2002-05-19 00:00:00+00:00,7.3175,13.452321,19.4675,8.3175,8.4832735,8.6675,0.367,0.36795834,0.369,0.0,0.09404762,1.6
2002-05-26 00:00:00+00:00,8.3175,13.387143,17.3675,8.6675,8.898155,9.117499,0.366,0.36644047,0.367,0.0,0.14226191,1.8
2002-06-02 00:00:00+00:00,5.8175,12.667797,19.667501,9.117499,9.309761,9.4675,0.364,0.36473215,0.366,0.0,0.039285716,1.1
2002-06-09 00:00:00+00:00,9.7675,14.081785,18.5175,9.4675,9.690119,9.9175,0.362,0.36315474,0.364,0.0,0.1375,2.6
2002-06-16 00:00:00+00:00,8.6675,14.771964,20.417501,9.9175,10.0978565,10.3175,0.361,0.3615119,0.362,0.0,0.058333334,1.3
2002-06-23 00:00:00+00:00,10.867499,16.524345,25.067501,10.3175,10.548155,10.8175,0.359,0.3597381,0.361,0.0,0.071428575,2.2
2002-06-30 00:00:00+00:00,8.367499,14.933572,21.917501,10.8175,11.048451,11.2675,0.357,0.35784525,0.359,0.0,0.020238096,0.7
2002-07-07 00:00:00+00:00,10.0675,14.292203,19.067501,11.2675,11.477916,11.6675,0.355,0.3559762,0.357,0.0,0.14940476,1.5
2002-07-14 00:00:00+00:00,10.0675,15.357977,20.3675,11.6675,11.828214,12.0175,0.353,0.3543988,0.355,0.0,0.07797619,2.0
2002-07-21 00:00:00+00:00,9.5175,15.645774,21.417501,12.0175,12.196667,12.4175,0.352,0.35250592,0.353,0.0,0.08392857,1.8
2002-07-28 00:00:00+00:00,10.4175,18.251133,25.6175,12.4175,12.590118,12.7675,0.35,0.35074404,0.352,0.0,0.02142857,0.7
2002-08-04 00:00:00+00:00,12.0675,18.252024,26.7675,12.8175,13.0666065,13.3175,0.348,0.34897023,0.35,0.0,0.108333334,2.4
2002-08-11 00:00:00+00:00,11.9175,17.14875,23.317501,13.3175,13.580297,13.8175,0.347,0.34739882,0.348,0.0,0.12380952,4.4
2002-08-18 00:00:00+00:00,11.6675,19.746073,26.4675,13.8175,14.01631,14.2175,0.345,0.34577975,0.347,0.0,0.026785715,0.7
2002-08-25 00:00:00+00:00,11.0175,16.884762,24.3675,14.2675,14.480893,14.6675,0.344,0.3443631,0.345,0.0,0.07083334,2.7
2002-09-01 00:00:00+00:00,10.7175,17.270475,23.3675,14.6675,14.855893,15.0175,0.342,0.34283334,0.344,0.0,0.0077380957,0.2
2002-09-08 00:00:00+00:00,10.5675,16.181786,21.3675,15.0175,15.145475,15.2675,0.341,0.34144047,0.342,0.0,0.052976187,1.7
2002-09-15 00:00:00+00:00,9.9675,15.7645235,20.5175,15.2675,15.332975,15.4175,0.34,0.34022024,0.341,0.0,0.14226191,5.3
2002-09-22 00:00:00+00:00,10.117499,13.949941,18.067501,15.4175,15.440416,15.4675,0.338,0.3389107,0.34,0.0,0.006547619,0.2
2002-09-29 00:00:00+00:00,7.1175003,12.8925,18.1175,15.367499,15.437738,15.4675,0.337,0.3377381,0.338,0.0,0.017857144,0.8
2002-10-06 00:00:00+00:00,8.2675,13.880297,20.417501,15.3175,15.340416,15.367499,0.336,0.3366369,0.337,0.0,0.005357143,0.4
2002-10-13 00:00:00+00:00,4.0175004,10.518393,15.0675,15.117499,15.213631,15.3175,0.335,0.33554763,0.336,0.0,0.092857145,1.7
2002-10-20 00:00:00+00:00,1.5174999,8.165417,13.367499,14.7675,14.964821,15.117499,0.334,0.33463094,0.335,0.0,0.14345238,1.9
2002-10-27 00:00:00+00:00,2.2175,10.42256,14.9175,14.367499,14.558868,14.7675,0.333,0.33384523,0.334,0.0,0.12916668,2.0
2002-11-03 00:00:00+00:00,5.3175,10.258274,14.867499,13.9175,14.135357,14.3175,0.333,0.333,0.333,0.0,0.11428572,1.9
2002-11-10 00:00:00+00:00,3.0175,8.351726,13.367499,13.5675,13.754703,13.9175,0.332,0.33272022,0.333,0.0,0.20952381,3.0
2002-11-17 00:00:00+00:00,5.0175004,8.776726,12.0175,13.117499,13.326427,13.5675,0.332,0.33231547,0.333,0.0,0.117857136,1.9
2002-11-24 00:00:00+00:00,2.3675,7.760357,11.6675,12.617499,12.866904,13.117499,0.333,0.33300596,0.334,0.0,0.043452382,0.9
2002-12-01 00:00:00+00:00,3.4175,8.135655,11.7175,12.2175,12.407679,12.617499,0.334,0.3341369,0.335,0.0,0.06845238,1.6
2002-12-08 00:00:00+00:00,2.4175,5.7794046,9.2175,11.7175,11.973155,12.1675,0.335,0.33542264,0.336,0.0,0.039285712,1.6
2002-12-15 00:00:00+00:00,0.11750001,3.573155,7.1175003,11.117499,11.428512,11.7175,0.336,0.33726192,0.338,0.0,0.052976195,0.6
2002-12-22 00:00:00+00:00,2.2175,4.884762,10.6675,10.5175,10.797856,11.117499,0.338,0.33917856,0.34,0.0,0.11845238,2.3
