date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-2.4555,2.2519405,8.544499,8.6945,9.00819,9.294499,0.371,0.37161905,0.372,0.0,0.05952381,1.4
2002-01-06 00:00:00+00:00,-7.2055,-0.096869014,5.7445,7.9945,8.348666,8.6945,0.372,0.3730417,0.374,0.0,0.0053571425,0.4
2002-01-13 00:00:00+00:00,-0.7555,4.442714,10.244499,7.3445,7.641822,7.9945,0.374,0.374,0.374,0.0,0.019642856,0.8
2002-01-20 00:00:00+00:00,2.3945,6.6668215,10.744499,7.0445,7.162655,7.3445,0.374,0.3747381,0.375,0.0,0.04702381,0.9
2002-01-27 00:00:00+00:00,-2.4055,7.0296187,12.3945,6.8945003,6.94331,6.9945,0.375,0.375,0.375,0.0,0.13035715,1.8
2002-02-03 00:00:00+00:00,4.4445,8.60313,12.6445,6.8445,6.847179,6.8945003,0.375,0.3754643,0.376,0.0,0.1827381,1.9
2002-02-10 00:00:00+00:00,2.3445,6.918905,10.994499,6.7945,6.8245597,6.8445,0.376,0.37805358,0.38,0.0,0.12142857,1.5
2002-02-17 00:00:00+00:00,-0.10549998,6.1995597,11.244499,6.7945,6.7945,6.7945,0.38,0.38150597,0.383,0.0,0.039880954,0.6
2002-02-24 00:00:00+00:00,-1.4054999,4.079917,10.3445,6.6445003,6.725155,6.7945,0.383,0.38388687,0.385,0.0,0.10297619,2.2
2002-03-03 00:00:00+00:00,-0.30549997,4.186167,9.1445,6.3945003,6.535274,6.6445003,0.385,0.38688692,0.39,0.0,0.24642858,3.5
2002-03-10 00:00:00+00:00,1.3945,6.7828927,11.294499,6.2945,6.3278337,6.3945003,0.39,0.39135715,0.392,0.0,0.061904766,1.2
2002-03-17 00:00:00+00:00,-0.30549997,5.2695,12.044499,6.1945,6.23825,6.2945,0.393,0.393,0.393,0.0,0.06309524,0.6
2002-03-24 00:00:00+00:00,2.7445002,7.4817023,12.1445,6.1445003,6.158786,6.1945,0.392,0.39276192,0.393,0.0,0.07678572,1.1
2002-03-31 00:00:00+00:00,-0.1555,7.703726,13.744499,6.1945,6.2296195,6.2945,0.392,0.39199996,0.392,0.0,0.0011904762,0.2
2002-04-07 00:00:00+00:00,0.044499993,7.4977736,14.794499,6.2945,6.3668213,6.4445,0.391,0.39129168,0.392,0.0,0.006547619,0.6
2002-04-14 00:00:00+00:00,0.24450001,5.7769403,10.3945,6.4445,6.512357,6.5445,0.389,0.39014286,0.391,0.0,0.01607143,0.3
2002-04-21 00:00:00+00:00,-1.5055001,8.493904,16.9445,6.5445,6.5808096,6.6445003,0.388,0.38857737,0.389,0.0,0.043452382,1.6
2002-04-28 00:00:00+00:00,4.2945,10.602834,18.4945,6.6445003,6.7754526,6.9445,0.386,0.38678575,0.388,0.0,0.05714286,0.9
2002-05-05 00:00:00+00:00,1.6945,7.476345,12.0945,6.9445,7.061465,7.1445003,0.384,0.38477975,0.386,0.0,0.092857145,1.6
2002-05-12 00:00:00+00:00,5.4945,10.002535,17.0945,7.1945,7.2745595,7.3945003,0.382,0.38273212,0.384,0.0,0.011904762,0.9
2002-05-19 00:00:00+00:00,8.4445,12.579023,21.4945,7.3945003,7.5552144,7.7445,0.379,0.3805476,0.382,0.0,0.057738096,1.0
