date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-3.8285,1.0592976,7.4214997,7.4715,7.778643,8.0715,0.385,0.38548216,0.386,0.0,0.042857144,0.6
2002-01-06 00:00:00+00:00,-8.1785,-1.1210595,4.9715,6.7714996,7.121797,7.4715,0.386,0.386,0.386,0.0,0.005357143,0.4
2002-01-13 00:00:00+00:00,-1.3785,3.4810238,9.2715,6.1215,6.422988,6.7714996,0.386,0.386,0.386,0.0,0.015476191,0.6
2002-01-20 00:00:00+00:00,1.2715001,5.661381,9.3715,5.7714996,5.9217978,6.1215,0.386,0.386,0.386,0.0,0.061904766,1.4
2002-01-27 00:00:00+00:00,-3.4285,5.963762,11.2715,5.6714997,5.713166,5.7714996,0.386,0.386,0.386,0.0,0.10952381,1.7
2002-02-03 00:00:00+00:00,3.4215,7.4402494,11.3215,5.6215,5.623286,5.6714997,0.386,0.3862381,0.387,0.0,0.23333333,2.6
2002-02-10 00:00:00+00:00,1.1215,5.832512,9.9215,5.6215,5.6215,5.6215,0.387,0.39051786,0.393,0.0,0.1529762,1.9
2002-02-17 00:00:00+00:00,-2.0785,5.0890594,10.0715,5.5715,5.609893,5.6215,0.393,0.3959643,0.398,0.0,0.06964286,1.0
2002-02-24 00:00:00+00:00,-2.4285,2.8732858,9.1215,5.4715,5.5286427,5.5715,0.398,0.3987143,0.399,0.0,0.11071429,1.9
2002-03-03 00:00:00+00:00,-1.4284999,3.0435238,8.0715,5.2215,5.339357,5.4715,0.399,0.40170237,0.405,0.0,0.24345239,3.8
2002-03-10 00:00:00+00:00,0.3215,5.5997734,9.9215,5.0715,5.1325116,5.2215,0.405,0.40571427,0.406,0.0,0.077380955,1.2
2002-03-17 00:00:00+00:00,-3.1785,3.7188213,11.2715,4.9715,5.0316186,5.0715,0.405,0.40560117,0.406,0.0,0.086904764,0.7
2002-03-24 00:00:00+00:00,2.4215,6.731917,11.1715,4.9214997,4.9366784,4.9715,0.404,0.40489286,0.405,0.0,0.060714286,1.3
2002-03-31 00:00:00+00:00,-2.0284998,6.5036426,12.7715,4.9715,5.0194163,5.0715,0.403,0.40371433,0.404,0.0,0.0017857144,0.2
2002-04-07 00:00:00+00:00,-0.8285,6.6670356,14.721499,5.0715,5.1587024,5.2714996,0.401,0.40225002,0.403,0.0,0.011309524,0.8
2002-04-14 00:00:00+00:00,-1.5785,4.7063212,10.3215,5.2714996,5.314357,5.3715,0.399,0.40015474,0.401,0.0,0.01607143,0.3
2002-04-21 00:00:00+00:00,-2.6285,7.361976,15.9215,5.3715,5.3914404,5.4214997,0.397,0.39785716,0.399,0.0,0.049404763,1.3
2002-04-28 00:00:00+00:00,3.1215,9.395309,16.8715,5.4715,5.5851903,5.7714996,0.394,0.39511308,0.397,0.0,0.073214285,1.1
2002-05-05 00:00:00+00:00,0.4215,6.384,11.221499,5.7714996,5.872095,5.9715,0.391,0.39239284,0.394,0.0,0.073214285,1.0
2002-05-12 00:00:00+00:00,4.0215,9.183405,17.0715,5.9715,6.087571,6.2215,0.388,0.38970834,0.391,0.0,0.008333334,0.4
2002-05-19 00:00:00+00:00,7.3715,11.619119,21.021502,6.2215,6.386083,6.5715,0.386,0.38695836,0.388,0.0,0.07380953,0.8
2002-05-26 00:00:00+00:00,5.8215,11.56019,16.421501,6.5715,6.8066187,7.0214996,0.383,0.38420832,0.386,0.0,0.18214285,2.2
2002-06-02 00:00:00+00:00,3.5715,11.051857,19.3215,7.0214996,7.233404,7.4214997,0.38,0.38164285,0.383,0.0,0.08392857,0.9
2002-06-09 00:00:00+00:00,6.0715,12.175667,18.3715,7.4214997,7.6247735,7.8215,0.378,0.3791131,0.38,0.0,0.08869048,1.4
2002-06-16 00:00:00+00:00,7.1215,12.098583,19.5715,7.8215,8.039357,8.221499,0.376,0.37689286,0.378,0.0,0.12916668,1.9
2002-06-23 00:00:00+00:00,7.2714996,13.667928,19.171501,8.221499,8.463464,8.721499,0.373,0.37450594,0.376,0.0,0.0023809525,0.2
2002-06-30 00:00:00+00:00,7.1714997,12.049477,16.0715,8.721499,8.925368,9.1215,0.371,0.37205356,0.373,0.0,0.045238096,0.7
2002-07-07 00:00:00+00:00,4.7215,11.57894,16.4715,9.1215,9.293226,9.4215,0.369,0.36994642,0.371,0.0,0.14880952,1.4
2002-07-14 00:00:00+00:00,6.5715,12.981024,19.671501,9.4215,9.599476,9.7715,0.367,0.3677976,0.369,0.0,0.038690478,1.4
2002-07-21 00:00:00+00:00,7.8215,13.958107,20.5715,9.7715,9.958107,10.1715,0.365,0.36556548,0.367,0.0,0.14523809,2.2
2002-07-28 00:00:00+00:00,9.2715,14.860488,21.8215,10.1715,10.329238,10.5215,0.363,0.36365476,0.365,0.0,0.030952383,0.8
2002-08-04 00:00:00+00:00,12.0715,16.65305,23.2215,10.5215,10.728345,10.971499,0.361,0.3617619,0.363,0.0,0.31547618,3.2
2002-08-11 00:00:00+00:00,9.9215,14.48281,19.8715,10.971499,11.218226,11.4215,0.36,0.36038098,0.361,0.0,0.20535715,3.2
