date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-2.217,2.9151428,8.083,10.433001,10.762167,11.083,0.424,0.42451787,0.425,0.0,0.04047619,1.1
2002-01-06 00:00:00+00:00,-4.017,1.4716904,5.983,9.783,10.11187,10.433001,0.425,0.425625,0.426,0.0,0.0,0.0
2002-01-13 00:00:00+00:00,0.133,4.344607,9.233001,9.183001,9.465143,9.783,0.426,0.42642263,0.427,0.0,0.01607143,0.7
2002-01-20 00:00:00+00:00,0.233,6.672881,11.583,8.783,8.983298,9.183001,0.427,0.427,0.427,0.0,0.05059524,0.7
2002-01-27 00:00:00+00:00,1.633,8.509786,12.733001,8.583,8.67675,8.783,0.427,0.428,0.429,0.0,0.16607143,2.3
2002-02-03 00:00:00+00:00,5.383,10.238655,12.833,8.483001,8.522881,8.583,0.429,0.42980358,0.431,0.0,0.09047619,2.5
2002-02-10 00:00:00+00:00,1.3330001,8.229429,11.483001,8.483001,8.483001,8.483001,0.431,0.43322617,0.435,0.0,0.09345238,1.6
2002-02-17 00:00:00+00:00,-1.067,6.2526426,12.483001,8.433001,8.47437,8.483001,0.435,0.43689883,0.438,0.0,0.025000002,0.6
2002-02-24 00:00:00+00:00,0.833,6.06425,11.933001,8.283,8.36931,8.433001,0.438,0.43861312,0.439,0.0,0.10000001,1.5
2002-03-03 00:00:00+00:00,-0.717,5.7943096,11.483001,8.133,8.221394,8.283,0.439,0.4401012,0.441,0.0,0.071428575,1.4
2002-03-10 00:00:00+00:00,2.1829998,7.822286,12.933001,7.9830003,8.062762,8.133,0.441,0.44165474,0.442,0.0,0.0029761905,0.5
2002-03-17 00:00:00+00:00,3.7329998,7.352345,12.833,7.933,7.9678216,7.9830003,0.442,0.44199997,0.442,0.0,0.16785714,1.8
2002-03-24 00:00:00+00:00,3.9829998,8.860084,13.883,7.933,7.933,7.933,0.442,0.44323808,0.444,0.0,0.07261904,1.8
2002-03-31 00:00:00+00:00,3.283,7.5002623,14.533,7.933,7.965441,7.9830003,0.444,0.44473213,0.445,0.0,0.0035714288,0.2
2002-04-07 00:00:00+00:00,4.3329997,9.279131,14.483001,7.9830003,8.003535,8.033,0.445,0.44500002,0.445,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,2.083,6.807702,10.783,8.033,8.099965,8.133,0.444,0.44408336,0.445,0.0,0.004761905,0.2
2002-04-21 00:00:00+00:00,2.6829998,8.899369,15.933,8.133,8.144012,8.183001,0.443,0.4435595,0.444,0.0,0.02857143,0.4
2002-04-28 00:00:00+00:00,6.133,11.944012,19.532999,8.183001,8.267226,8.383,0.442,0.4425238,0.443,0.0,0.058928568,1.3
2002-05-05 00:00:00+00:00,3.933,8.8731785,13.533,8.383,8.487167,8.583,0.441,0.44145238,0.442,0.0,0.13928571,4.1
2002-05-12 00:00:00+00:00,7.233,11.367822,15.233001,8.583,8.660381,8.733001,0.44,0.44034523,0.441,0.0,0.019642856,0.5
2002-05-19 00:00:00+00:00,7.9830003,13.373774,17.682999,8.783,8.883298,9.033,0.438,0.4392024,0.44,0.0,0.12321429,2.1
2002-05-26 00:00:00+00:00,8.533,13.27169,16.932999,9.033,9.197881,9.383,0.437,0.4376964,0.438,0.0,0.1279762,2.1
2002-06-02 00:00:00+00:00,6.483,12.759786,19.583,9.383,9.527048,9.683001,0.436,0.43646425,0.437,0.0,0.032738097,0.8
2002-06-09 00:00:00+00:00,9.883,13.587167,18.032999,9.683001,9.83687,9.983001,0.434,0.4350238,0.436,0.0,0.16309524,2.6
2002-06-16 00:00:00+00:00,9.833,14.698476,20.532999,9.983001,10.159785,10.333,0.433,0.43370238,0.434,0.0,0.06488095,1.4
2002-06-23 00:00:00+00:00,11.133,16.40294,24.383,10.333,10.523477,10.733001,0.432,0.43238094,0.433,0.0,0.041666668,1.8
2002-06-30 00:00:00+00:00,9.083,15.159488,21.532999,10.733001,10.955025,11.183001,0.43,0.43069643,0.432,0.0,0.014285715,0.8
2002-07-07 00:00:00+00:00,10.583,14.368119,18.682999,11.183001,11.35175,11.533,0.429,0.42925,0.43,0.0,0.16726191,1.5
2002-07-14 00:00:00+00:00,10.083,15.360679,21.133,11.533,11.675858,11.833,0.427,0.42785713,0.429,0.0,0.04047619,0.9
2002-07-21 00:00:00+00:00,11.133,16.236275,21.932999,11.833,12.010977,12.183001,0.426,0.42640477,0.427,0.0,0.025595238,0.9
2002-07-28 00:00:00+00:00,10.833,18.264845,25.032999,12.183001,12.39431,12.583,0.424,0.4248631,0.426,0.0,0.006547619,0.4
2002-08-04 00:00:00+00:00,13.183001,18.16306,25.833,12.583,12.836275,13.083,0.423,0.42339283,0.424,0.0,0.10952381,1.6
2002-08-11 00:00:00+00:00,12.283,17.091333,22.983,13.083,13.304131,13.533,0.421,0.42208332,0.423,0.0,0.11845238,1.6
2002-08-18 00:00:00+00:00,12.683001,19.638655,25.932999,13.533,13.707405,13.933001,0.42,0.4206488,0.421,0.0,0.013690476,0.5
2002-08-25 00:00:00+00:00,11.583,17.32288,23.583,13.933001,14.13062,14.333,0.419,0.419375,0.42,0.0,0.0077380957,0.4
2002-09-01 00:00:00+00:00,11.383,17.237465,22.383,14.333,14.507405,14.683001,0.417,0.4180298,0.419,0.0,0.004761905,0.2
2002-09-08 00:00:00+00:00,11.983001,16.638655,21.383,14.683001,14.81693,14.933001,0.416,0.4166369,0.417,0.0,0.023214286,0.9
2002-09-15 00:00:00+00:00,10.633,15.862762,20.483,14.933001,15.053239,15.133,0.415,0.41551787,0.416,0.0,0.11964286,3.9
2002-09-22 00:00:00+00:00,10.983001,14.458595,18.133,15.133,15.20056,15.233001,0.414,0.41441074,0.415,0.0,0.0023809525,0.1
2002-09-29 00:00:00+00:00,7.933,13.294012,18.083,15.233001,15.279726,15.283,0.413,0.41332737,0.414,0.0,0.019642856,1.3
2002-10-06 00:00:00+00:00,8.783,14.162168,19.883,15.233001,15.246691,15.283,0.412,0.41225,0.413,0.0,0.011309524,0.5
2002-10-13 00:00:00+00:00,4.433,11.05681,15.033,15.133,15.194905,15.233001,0.411,0.411256,0.412,0.0,0.10654762,1.9
2002-10-20 00:00:00+00:00,1.883,8.58062,13.883,14.883,15.033,15.133,0.41,0.41044644,0.411,0.0,0.0827381,1.6
2002-10-27 00:00:00+00:00,2.883,10.945203,15.483001,14.583,14.732702,14.883,0.409,0.40968454,0.41,0.0,0.116071425,2.8
2002-11-03 00:00:00+00:00,6.033,11.074369,15.133,14.283,14.412762,14.583,0.409,0.40899998,0.409,0.0,0.12142857,2.3
2002-11-10 00:00:00+00:00,4.883,9.166631,13.483001,13.983001,14.124965,14.283,0.408,0.4080774,0.409,0.0,0.21845238,3.5
2002-11-17 00:00:00+00:00,5.483,9.312465,12.183001,13.633,13.799666,13.983001,0.408,0.408,0.408,0.0,0.13214286,2.4
2002-11-24 00:00:00+00:00,3.7329998,8.294012,11.183001,13.233001,13.43806,13.633,0.408,0.408,0.408,0.0,0.030357143,0.8
2002-12-01 00:00:00+00:00,5.233,8.520203,11.683001,12.883,13.057703,13.233001,0.408,0.408,0.408,0.0,0.071428575,1.9
2002-12-08 00:00:00+00:00,3.1829998,5.9270477,9.333,12.483001,12.683001,12.883,0.408,0.40833333,0.409,0.0,0.04702381,1.9
2002-12-15 00:00:00+00:00,0.38300002,4.186274,7.933,11.933001,12.214547,12.483001,0.409,0.40902382,0.41,0.0,0.08154762,0.8
2002-12-22 00:00:00+00:00,1.633,5.538655,11.083,11.433001,11.67437,11.933001,0.41,0.41027382,0.412,0.0,0.15357143,2.6
2002-12-29 00:00:00+00:00,5.033,9.276453,12.233001,11.033,11.199369,11.383,0.412,0.41489288,0.419,0.0,0.2107143,2.2
2003-01-05 00:00:00+00:00,-2.217,5.1460953,11.583,10.733001,10.879131,11.033,0.419,0.42864287,0.438,0.0,0.23750001,3.0
2003-01-12 00:00:00+00:00,-2.917,0.28567857,5.0829997,10.183001,10.466631,10.733001,0.438,0.44089285,0.443,0.0,0.026190476,0.6
2003-01-19 00:00:00+00:00,2.383,6.230619,9.533,9.633,9.885679,10.183001,0.443,0.44437498,0.445,0.0,0.06904762,1.6
2003-01-26 00:00:00+00:00,0.033000007,6.542524,12.083,9.233001,9.427643,9.633,0.445,0.44652382,0.448,0.0,0.086904764,1.2
2003-02-02 00:00:00+00:00,-2.117,3.7996666,11.333,8.933001,9.085084,9.233001,0.448,0.44884524,0.45,0.0,0.054761905,1.1
2003-02-09 00:00:00+00:00,-2.417,3.9294286,9.833,8.483001,8.696988,8.933001,0.45,0.45009524,0.451,0.0,0.06666666,1.1
2003-02-16 00:00:00+00:00,-0.467,2.9103808,6.633,8.133,8.309191,8.483001,0.451,0.45136905,0.452,0.0,0.03511905,0.4
2003-02-23 00:00:00+00:00,-1.117,2.8082976,11.083,7.733,7.9270477,8.133,0.452,0.45270833,0.453,0.0,0.0,0.0
2003-03-02 00:00:00+00:00,2.533,6.9085956,12.133,7.433,7.5568094,7.733,0.453,0.453,0.453,0.0,0.042261906,1.8
2003-03-09 00:00:00+00:00,0.033000007,7.901155,12.833,7.3329997,7.3719883,7.433,0.453,0.453,0.453,0.0,0.060714286,1.7
2003-03-16 00:00:00+00:00,2.083,6.5035357,12.183001,7.3329997,7.3329997,7.3329997,0.452,0.452625,0.453,0.0,0.0029761905,0.2
2003-03-23 00:00:00+00:00,-1.067,5.8029404,13.033,7.233,7.285679,7.3329997,0.452,0.452,0.452,0.0,0.0,0.0
2003-03-30 00:00:00+00:00,4.233,8.9356785,14.733001,7.233,7.2481785,7.283,0.451,0.45120835,0.452,0.0,0.0,0.0
2003-04-06 00:00:00+00:00,2.4329998,7.183,14.633,7.283,7.320202,7.383,0.45,0.4502917,0.451,0.0,0.0375,1.5
2003-04-13 00:00:00+00:00,1.0830001,5.1952024,12.783,7.383,7.383,7.383,0.448,0.44912502,0.45,0.0,0.021428572,0.9
2003-04-20 00:00:00+00:00,5.8329997,11.09669,18.233,7.383,7.4178214,7.483,0.447,0.44761908,0.448,0.0,0.011904762,0.8
2003-04-27 00:00:00+00:00,4.733,10.918119,15.983001,7.483,7.603833,7.733,0.445,0.44616073,0.447,0.0,0.06666666,2.4
2003-05-04 00:00:00+00:00,7.883,12.188655,19.583,7.733,7.8585954,7.9830003,0.444,0.44451192,0.445,0.0,0.06488095,1.1
2003-05-11 00:00:00+00:00,6.683,11.899965,15.933,7.9830003,8.169607,8.333,0.442,0.44268453,0.444,0.0,0.0017857144,0.1
2003-05-18 00:00:00+00:00,3.2329998,10.398179,15.883,8.333,8.494905,8.633,0.44,0.4408036,0.442,0.0,0.098809525,1.9
2003-05-25 00:00:00+00:00,8.133,12.642822,17.282999,8.633,8.770203,8.933001,0.438,0.43908334,0.44,0.0,0.05952381,1.3
2003-06-01 00:00:00+00:00,7.933,15.5053215,21.682999,8.933001,9.08419,9.283,0.436,0.43716073,0.438,0.0,0.012499999,1.0
2003-06-08 00:00:00+00:00,11.033,15.86157,20.532999,9.283,9.530917,9.783,0.434,0.43524405,0.436,0.0,0.16726191,2.9
2003-06-15 00:00:00+00:00,10.383,16.110678,20.883,9.783,10.025262,10.283,0.432,0.43327382,0.434,0.0,0.010714285,0.7
2003-06-22 00:00:00+00:00,10.083,17.519308,23.682999,10.283,10.540739,10.833,0.43,0.43112502,0.432,0.0,0.04761905,3.2
2003-06-29 00:00:00+00:00,11.983001,16.808893,21.532999,10.833,11.085084,11.333,0.428,0.42900595,0.43,0.0,0.06428572,2.2
2003-07-06 00:00:00+00:00,12.383,16.025858,19.282999,11.333,11.604429,11.833,0.426,0.42713094,0.428,0.0,0.13928571,1.7
2003-07-13 00:00:00+00:00,13.283,18.600262,25.932999,11.833,12.06425,12.333,0.424,0.4252619,0.426,0.0,0.0,0.0
2003-07-20 00:00:00+00:00,15.233001,19.727047,26.282999,12.333,12.582405,12.833,0.422,0.42310715,0.424,0.0,0.10178572,2.0
2003-07-27 00:00:00+00:00,13.133,17.67288,22.233,12.883,13.126155,13.383,0.42,0.42129168,0.422,0.0,0.16071428,3.0
2003-08-03 00:00:00+00:00,11.833,17.806808,22.083,13.383,13.582703,13.783,0.419,0.4196488,0.42,0.0,0.11130953,2.7
2003-08-10 00:00:00+00:00,14.583,21.958298,30.233,13.783,13.999965,14.233001,0.417,0.41803575,0.419,0.0,0.0,0.0
2003-08-17 00:00:00+00:00,12.583,19.39163,27.883,14.233001,14.534488,14.833,0.415,0.41622025,0.417,0.0,0.010119048,0.6
2003-08-24 00:00:00+00:00,13.583,19.128239,24.583,14.833,15.052346,15.283,0.414,0.4144881,0.415,0.0,0.0071428576,0.3
2003-08-31 00:00:00+00:00,9.283,15.725858,20.083,15.283,15.465441,15.633,0.412,0.41300598,0.414,0.0,0.017857144,0.5
2003-09-07 00:00:00+00:00,10.083,15.912464,21.682999,15.633,15.731215,15.833,0.411,0.41152382,0.412,0.0,0.0071428576,0.5
2003-09-14 00:00:00+00:00,9.583,15.346394,20.083,15.833,15.896393,15.983001,0.409,0.4101905,0.411,0.0,0.027976193,0.8
2003-09-21 00:00:00+00:00,11.183001,17.738953,24.833,15.933,16.012167,16.083,0.408,0.40865475,0.409,0.0,0.0,0.0
2003-09-28 00:00:00+00:00,5.483,12.649667,20.682999,16.083,16.119905,16.133,0.407,0.40742856,0.408,0.0,0.055952385,2.7
2003-10-05 00:00:00+00:00,4.8329997,12.86425,18.083,16.083,16.120201,16.133,0.406,0.4062857,0.407,0.0,0.017857144,0.7
2003-10-12 00:00:00+00:00,6.433,12.503834,17.682999,15.933,16.021095,16.083,0.405,0.40523216,0.406,0.0,0.023214286,1.1
2003-10-19 00:00:00+00:00,7.933,10.6928215,13.383,15.733001,15.84818,15.933,0.404,0.4042262,0.405,0.0,0.0,0.0
2003-10-26 00:00:00+00:00,2.1829998,6.579726,10.583,15.433001,15.593715,15.733001,0.403,0.4032857,0.404,0.0,0.051785715,0.9
2003-11-02 00:00:00+00:00,2.9829998,7.7035356,12.483001,14.983001,15.188357,15.433001,0.402,0.40245238,0.403,0.0,0.16726191,2.4
2003-11-09 00:00:00+00:00,5.733,9.501155,14.233001,14.533,14.73925,14.933001,0.401,0.40170833,0.402,0.0,0.0029761905,0.2
2003-11-16 00:00:00+00:00,4.283,9.230322,12.983001,14.133,14.342227,14.533,0.401,0.40099996,0.401,0.0,0.02857143,0.7
2003-11-23 00:00:00+00:00,3.583,9.944905,14.183001,13.783,13.972881,14.133,0.4,0.40005356,0.401,0.0,0.37142858,1.8
2003-11-30 00:00:00+00:00,-0.067,6.7475834,11.083,13.383,13.617227,13.783,0.4,0.40000004,0.4,0.0,0.14583333,3.3
2003-12-07 00:00:00+00:00,2.283,7.281214,10.483001,12.983001,13.183596,13.383,0.399,0.3999286,0.4,0.0,0.03154762,0.8
2003-12-14 00:00:00+00:00,1.683,6.478238,12.733001,12.483001,12.721394,12.983001,0.399,0.399,0.399,0.0,0.13273808,1.2
2003-12-21 00:00:00+00:00,-2.2670002,3.711869,11.033,11.933001,12.216036,12.483001,0.399,0.39979166,0.4,0.0,0.045833334,1.9
2003-12-28 00:00:00+00:00,-0.167,5.8758574,10.033,11.383,11.65919,11.933001,0.4,0.40000004,0.4,0.0,0.06666666,1.2
2004-01-04 00:00:00+00:00,-0.117,2.9288332,6.483,10.883,11.145203,11.383,0.4,0.4005238,0.401,0.0,0.10357143,1.7
