date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-5.7190003,0.58010715,6.981,6.581,6.9030237,7.231,0.297,0.297,0.297,0.0,0.1125,1.9
2002-01-06 00:00:00+00:00,-8.419,-1.2487619,4.731,5.831,6.2083807,6.581,0.297,0.29766667,0.298,0.0,0.0023809525,0.2
2002-01-13 00:00:00+00:00,-1.919,3.4488573,8.581,5.1809998,5.4821906,5.831,0.297,0.29755357,0.298,0.0,0.02202381,1.5
2002-01-20 00:00:00+00:00,0.8809999,5.1289167,8.481,4.9309998,5.0187974,5.1809998,0.297,0.297,0.297,0.0,0.10654762,1.3
2002-01-27 00:00:00+00:00,-2.4689999,5.2935,10.231,4.831,4.867607,4.881,0.297,0.297,0.297,0.0,0.20297618,2.0
2002-02-03 00:00:00+00:00,2.581,6.687548,10.281,4.831,4.831,4.831,0.297,0.29993454,0.305,0.0,0.29166666,1.8
2002-02-10 00:00:00+00:00,0.48099998,5.041714,9.181001,4.831,4.831,4.831,0.305,0.30982143,0.314,0.0,0.25357145,2.4
2002-02-17 00:00:00+00:00,-2.419,4.4054046,9.3810005,4.831,4.854214,4.881,0.314,0.3184881,0.321,0.0,0.10952381,2.0
2002-02-24 00:00:00+00:00,-3.4689999,2.2381427,8.531,4.6809998,4.782488,4.831,0.32,0.32074407,0.321,0.0,0.19880953,2.2
2002-03-03 00:00:00+00:00,-6.269,2.1935,7.331,4.4309998,4.57475,4.6809998,0.32,0.32194644,0.324,0.0,0.28035712,3.5
2002-03-10 00:00:00+00:00,-0.36900002,4.9711785,9.231,4.331,4.357488,4.4309998,0.324,0.32470238,0.325,0.0,0.14642857,1.7
2002-03-17 00:00:00+00:00,-2.869,3.4238572,11.281,4.231,4.2809997,4.331,0.323,0.3237976,0.324,0.0,0.060714286,1.8
2002-03-24 00:00:00+00:00,1.1309999,6.409571,10.831,4.1809998,4.198857,4.231,0.321,0.3220595,0.323,0.0,0.08392857,2.1
2002-03-31 00:00:00+00:00,-2.5189998,6.013738,12.531,4.231,4.32475,4.381,0.318,0.3195238,0.321,0.0,0.0011904762,0.1
2002-04-07 00:00:00+00:00,-2.4689999,6.395881,14.781,4.381,4.502726,4.631,0.314,0.31613097,0.318,0.0,0.013690476,0.9
2002-04-14 00:00:00+00:00,-1.569,4.7158213,10.831,4.631,4.702131,4.7809997,0.31,0.31206545,0.314,0.0,0.029166667,0.4
2002-04-21 00:00:00+00:00,-0.119,7.3964763,14.231,4.7809997,4.827131,4.9309998,0.306,0.3078631,0.31,0.0,0.04404762,0.7
2002-04-28 00:00:00+00:00,2.631,8.338441,15.181001,4.9309998,5.0735593,5.231,0.302,0.30366072,0.306,0.0,0.0922619,1.8
2002-05-05 00:00:00+00:00,0.73099995,6.0440955,11.431001,5.231,5.377726,5.481,0.298,0.29969049,0.302,0.0,0.104166664,2.1
2002-05-12 00:00:00+00:00,1.831,8.713142,14.581,5.481,5.607488,5.731,0.294,0.29616666,0.298,0.0,0.011309524,1.0
2002-05-19 00:00:00+00:00,6.581,10.959869,19.831,5.7809997,5.947964,6.1809998,0.291,0.29276785,0.294,0.0,0.07380953,1.0
2002-05-26 00:00:00+00:00,6.0309997,11.292012,16.431,6.1809998,6.4119525,6.6809998,0.288,0.28959525,0.291,0.0,0.24166666,3.5
2002-06-02 00:00:00+00:00,3.581,10.709572,18.431,6.6809998,6.8812976,7.081,0.286,0.2868631,0.288,0.0,0.11666667,1.5
2002-06-09 00:00:00+00:00,5.731,11.836357,18.980999,7.081,7.311655,7.5309997,0.283,0.28448808,0.286,0.0,0.12142857,1.7
2002-06-16 00:00:00+00:00,6.731,11.42475,17.281,7.5309997,7.7649283,7.9809995,0.282,0.28249404,0.283,0.0,0.20476191,2.2
2002-06-23 00:00:00+00:00,7.331,12.777726,17.181,7.9809995,8.223262,8.481,0.28,0.28073213,0.282,0.0,0.04047619,1.3
