date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-2.8325,1.7061906,8.0175,8.0175,8.305,8.617499,0.386,0.38622025,0.387,0.0,0.05952381,1.4
2002-01-06 00:00:00+00:00,-8.5325,-0.6732738,5.3175,7.2675004,7.6484528,8.0175,0.387,0.387,0.387,0.0,0.0053571425,0.4
2002-01-13 00:00:00+00:00,-1.4325,3.955,9.7675,6.6675,6.945774,7.2675004,0.387,0.387,0.387,0.0,0.019642856,0.8
2002-01-20 00:00:00+00:00,2.0175,6.19875,9.9675,6.3175,6.4719644,6.6675,0.387,0.387,0.387,0.0,0.04702381,0.9
2002-01-27 00:00:00+00:00,-3.0825,6.3892264,11.867499,6.2175,6.270774,6.3175,0.387,0.387,0.387,0.0,0.13035715,1.8
2002-02-03 00:00:00+00:00,3.8675,7.974941,11.9675,6.1675,6.1782146,6.2175,0.387,0.38716072,0.388,0.0,0.1827381,1.9
2002-02-10 00:00:00+00:00,1.8175,6.2826786,10.4175,6.1675,6.1675,6.1675,0.388,0.39026192,0.392,0.0,0.12142857,1.5
2002-02-17 00:00:00+00:00,-1.3825,5.594286,10.7175,6.1175003,6.162441,6.1675,0.392,0.39418453,0.396,0.0,0.039880954,0.6
2002-02-24 00:00:00+00:00,-1.8825,3.4350598,9.7175,6.0175004,6.080298,6.1175003,0.396,0.396,0.396,0.0,0.10297619,2.2
2002-03-03 00:00:00+00:00,-1.0825,3.5285122,8.5175,5.7675004,5.8898215,6.0175004,0.396,0.3986369,0.401,0.0,0.24642858,3.5
2002-03-10 00:00:00+00:00,0.7175,6.1913095,10.617499,5.6175003,5.680893,5.7675004,0.401,0.40268454,0.403,0.0,0.061904766,1.2
