date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-1.8855,2.1103334,8.3645,8.4145,8.701703,8.9645,0.38,0.3806607,0.381,0.0,0.09642857,1.7
2002-01-06 00:00:00+00:00,-6.4855,0.21539284,5.7145,7.7145,8.068666,8.4145,0.381,0.38183334,0.382,0.0,0.004761905,0.4
2002-01-13 00:00:00+00:00,-0.48549998,4.5713453,9.9645,7.1145,7.402893,7.7145,0.382,0.38285118,0.383,0.0,0.00952381,0.3
2002-01-20 00:00:00+00:00,2.5644999,6.3650956,9.764501,6.8145,6.965988,7.1145,0.383,0.38299996,0.383,0.0,0.054761905,1.5
2002-01-27 00:00:00+00:00,-2.1355,6.4377146,11.9145,6.7145,6.7645,6.8145,0.383,0.38299996,0.383,0.0,0.175,2.3
2002-02-03 00:00:00+00:00,3.9645,7.968667,11.9145,6.6145,6.652595,6.7145,0.383,0.38416073,0.386,0.0,0.17797619,2.0
2002-02-10 00:00:00+00:00,2.1145,6.304976,10.4645,6.6145,6.6144996,6.6145,0.386,0.38871428,0.391,0.0,0.1125,1.2
2002-02-17 00:00:00+00:00,-0.48549998,5.8704524,10.6645,6.5645,6.5695596,6.6145,0.391,0.39298213,0.394,0.0,0.032738097,0.7
2002-02-24 00:00:00+00:00,-1.5355,3.5662856,9.7145,6.4144998,6.4900956,6.5645,0.394,0.3947738,0.395,0.0,0.11130953,2.1
2002-03-03 00:00:00+00:00,-0.6355,3.605869,8.564501,6.1644998,6.2856307,6.4144998,0.395,0.3969643,0.4,0.0,0.26726192,3.0
2002-03-10 00:00:00+00:00,0.9645,6.334738,10.6645,6.0145,6.0531907,6.1644998,0.4,0.40201786,0.403,0.0,0.06309524,1.7
2002-03-17 00:00:00+00:00,-0.48549998,4.9546785,11.514501,5.9144998,5.9540834,6.0145,0.403,0.40300003,0.403,0.0,0.0625,0.7
2002-03-24 00:00:00+00:00,2.7145,6.792179,11.1145,5.8645,5.866286,5.9144998,0.402,0.4027976,0.403,0.0,0.08571428,1.3
2002-03-31 00:00:00+00:00,0.064500004,7.432953,13.2145,5.8645,5.9213448,5.9645,0.401,0.4019048,0.402,0.0,0.0,0.0
2002-04-07 00:00:00+00:00,-0.68549997,6.9862266,13.6145,5.9645,6.0445595,6.1145,0.4,0.4006607,0.401,0.0,0.005357143,0.6
2002-04-14 00:00:00+00:00,-0.23549998,5.491286,10.4645,6.1145,6.1728334,6.2145,0.398,0.39903572,0.4,0.0,0.023214286,0.4
2002-04-21 00:00:00+00:00,-0.93549997,8.181762,15.764501,6.2145,6.23325,6.2645,0.396,0.39697024,0.398,0.0,0.023809524,0.9
2002-04-28 00:00:00+00:00,4.0145,9.949917,17.6145,6.2645,6.4219403,6.5645,0.393,0.3945476,0.396,0.0,0.049999997,1.0
2002-05-05 00:00:00+00:00,1.7644999,7.0207505,11.514501,6.5645,6.6918807,6.7645,0.391,0.39200002,0.393,0.0,0.079166666,1.2
2002-05-12 00:00:00+00:00,4.9144998,9.424321,15.1145,6.7645,6.8832498,7.0145,0.388,0.3893988,0.391,0.0,0.014285715,1.0
