date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-1.6784999,3.232512,8.471499,10.221499,10.536381,10.8715,0.351,0.3516488,0.352,0.0,0.04107143,1.0
2002-01-06 00:00:00+00:00,-4.4785004,1.0592976,6.1714997,9.4215,9.823881,10.1715,0.352,0.35266072,0.353,0.0,0.0005952381,0.1
2002-01-13 00:00:00+00:00,0.2715,4.44025,9.971499,8.8215,9.108107,9.4215,0.353,0.35354763,0.354,0.0,0.01547619,0.5
2002-01-20 00:00:00+00:00,-0.37849998,6.8804283,11.8715,8.4215,8.608702,8.8215,0.354,0.35422024,0.355,0.0,0.05357143,1.0
2002-01-27 00:00:00+00:00,2.2215002,8.892632,13.1715,8.2715,8.331322,8.4215,0.355,0.35508332,0.356,0.0,0.1595238,1.8
2002-02-03 00:00:00+00:00,5.3715,10.551559,13.1215,8.221499,8.226262,8.2715,0.356,0.35654166,0.358,0.0,0.12142857,2.9
2002-02-10 00:00:00+00:00,1.1715,8.474773,11.971499,8.2715,8.2715,8.2715,0.358,0.35915476,0.361,0.0,0.07976191,1.1
2002-02-17 00:00:00+00:00,-2.1285,6.2694163,12.5715,8.2715,8.296797,8.3215,0.361,0.36219049,0.363,0.0,0.029761905,1.4
2002-02-24 00:00:00+00:00,0.9715,6.4271545,12.1715,8.1215,8.209,8.2715,0.363,0.3643631,0.365,0.0,0.09166667,1.4
2002-03-03 00:00:00+00:00,-0.9285,5.9905477,11.8715,7.9715,8.070012,8.1215,0.365,0.3659107,0.367,0.0,0.077380955,1.4
2002-03-10 00:00:00+00:00,2.1215,8.088167,13.0215,7.8715,7.915548,7.9715,0.367,0.36752978,0.368,0.0,0.0017857144,0.2
2002-03-17 00:00:00+00:00,3.1715,7.687869,13.1715,7.8215,7.8545356,7.8715,0.368,0.3680893,0.369,0.0,0.175,1.8
2002-03-24 00:00:00+00:00,3.1215,9.354536,14.2715,7.8215,7.838762,7.8715,0.369,0.36958334,0.371,0.0,0.08571428,2.3
2002-03-31 00:00:00+00:00,2.0215,7.920309,15.4215,7.8715,7.9215,7.9715,0.371,0.37110716,0.372,0.0,0.0011904762,0.2
2002-04-07 00:00:00+00:00,4.1714997,9.902452,17.7215,7.9715,8.01525,8.1215,0.371,0.37150595,0.372,0.0,0.0,0.0
2002-04-14 00:00:00+00:00,2.8715,7.135488,11.3715,8.1215,8.159,8.221499,0.371,0.371,0.371,0.0,0.0005952381,0.1
2002-04-21 00:00:00+00:00,2.0715,9.417036,16.5715,8.221499,8.236082,8.2715,0.37,0.37006548,0.371,0.0,0.02202381,0.6
