date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,0.119500004,3.9308095,8.669499,10.5695,10.8855715,11.169499,0.356,0.35618454,0.357,0.0,0.05714286,0.8
2002-01-06 00:00:00+00:00,-0.7805,2.9355714,6.1695,9.8695,10.237654,10.5695,0.357,0.35823214,0.359,0.0,0.0029761905,0.2
2002-01-13 00:00:00+00:00,2.6695,4.8924165,7.7194996,9.3195,9.595393,9.8695,0.359,0.35904166,0.36,0.0,0.02440476,0.7
2002-01-20 00:00:00+00:00,2.0195,6.6498575,10.9695,8.919499,9.112952,9.3195,0.36,0.36,0.36,0.0,0.077380955,1.1
2002-01-27 00:00:00+00:00,2.1195,8.204917,11.669499,8.669499,8.799559,8.919499,0.36,0.36113095,0.362,0.0,0.10714286,1.2
2002-02-03 00:00:00+00:00,6.0195,9.964143,12.0695,8.6195,8.637357,8.669499,0.362,0.36302382,0.364,0.0,0.09761904,3.1
2002-02-10 00:00:00+00:00,2.9695,8.244499,11.419499,8.5695,8.611762,8.6195,0.364,0.36558333,0.367,0.0,0.078571424,2.2
2002-02-17 00:00:00+00:00,0.119500004,6.596583,12.2695,8.5195,8.567417,8.5695,0.367,0.36844048,0.37,0.0,0.017261906,0.5
2002-02-24 00:00:00+00:00,1.8195,5.921583,10.5695,8.3695,8.447179,8.5195,0.37,0.370375,0.371,0.0,0.10357143,1.3
2002-03-03 00:00:00+00:00,1.4695001,5.9391427,10.5195,8.169499,8.253131,8.3695,0.371,0.3715655,0.372,0.0,0.07559524,1.3
2002-03-10 00:00:00+00:00,2.8195,7.7927146,11.3695,7.9694996,8.054024,8.169499,0.372,0.37291664,0.373,0.0,0.005357143,0.2
2002-03-17 00:00:00+00:00,4.0695,7.1349754,10.6195,7.9195,7.9528327,7.9694996,0.373,0.373,0.373,0.0,0.10297619,1.8
