date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-4.9300003,-0.27970243,6.47,6.27,6.569107,6.87,0.369,0.37015477,0.371,0.0,0.06011905,1.5
2002-01-06 00:00:00+00:00,-7.73,-1.4689882,4.1699996,5.5699997,5.9325,6.27,0.371,0.37159523,0.372,0.0,0.0023809525,0.2
2002-01-13 00:00:00+00:00,-2.8799999,3.0893452,8.22,5.02,5.2780356,5.5699997,0.372,0.37279168,0.373,0.0,0.004761905,0.2
2002-01-20 00:00:00+00:00,-0.030000031,4.208095,7.6199994,4.6699996,4.825952,4.97,0.373,0.37345833,0.374,0.0,0.06011905,1.3
2002-01-27 00:00:00+00:00,-3.83,4.2170234,9.77,4.52,4.613452,4.6699996,0.374,0.37401193,0.375,0.0,0.15476191,1.7
2002-02-03 00:00:00+00:00,1.6200001,5.554226,9.77,4.47,4.4875593,4.52,0.375,0.3764226,0.379,0.0,0.19999999,2.7
2002-02-10 00:00:00+00:00,-0.53000003,4.0116663,8.570001,4.37,4.4247613,4.47,0.379,0.38339883,0.387,0.0,0.10535715,1.2
2002-02-17 00:00:00+00:00,-3.68,3.7887502,8.570001,4.3199997,4.361666,4.37,0.387,0.38904762,0.391,0.0,0.03333333,0.4
2002-02-24 00:00:00+00:00,-4.38,1.2836905,8.12,4.1699996,4.2658334,4.3199997,0.391,0.39156547,0.392,0.0,0.10000001,1.7
2002-03-03 00:00:00+00:00,-5.3300004,1.3667262,7.3699994,3.9199998,4.0533333,4.1699996,0.392,0.39327976,0.395,0.0,0.21130952,1.8
2002-03-10 00:00:00+00:00,-1.48,4.2405357,9.070001,3.7700002,3.8247619,3.9199998,0.395,0.39698213,0.398,0.0,0.07202381,1.9
2002-03-17 00:00:00+00:00,-3.18,2.6789286,9.67,3.6699998,3.7229762,3.7700002,0.398,0.39883333,0.399,0.0,0.039880954,0.4
2002-03-24 00:00:00+00:00,0.67,4.734286,10.02,3.6200001,3.6229763,3.6699998,0.398,0.39826784,0.399,0.0,0.08988096,1.2
2002-03-31 00:00:00+00:00,-2.63,5.722678,12.47,3.6200001,3.669107,3.72,0.398,0.398,0.398,0.0,0.0023809525,0.2
2002-04-07 00:00:00+00:00,-3.23,5.5235715,12.42,3.72,3.8197026,3.9199998,0.396,0.39711908,0.398,0.0,0.011309524,0.8
2002-04-14 00:00:00+00:00,-1.98,3.8408334,9.62,3.9199998,4.0000596,4.0699997,0.395,0.3956488,0.396,0.0,0.04702381,0.5
2002-04-21 00:00:00+00:00,-2.63,6.259286,13.37,4.0699997,4.1197023,4.1699996,0.393,0.39400595,0.395,0.0,0.035714287,0.6
2002-04-28 00:00:00+00:00,1.22,8.062262,17.369999,4.1699996,4.347678,4.52,0.391,0.39191073,0.393,0.0,0.050000004,0.7
2002-05-05 00:00:00+00:00,-0.68,4.9622617,9.67,4.52,4.6408334,4.72,0.389,0.38973808,0.391,0.0,0.11071429,1.3
2002-05-12 00:00:00+00:00,1.6200001,7.800655,13.070001,4.72,4.8569045,4.97,0.386,0.38748214,0.389,0.0,0.026190476,0.8
2002-05-19 00:00:00+00:00,6.0699997,10.036667,18.32,4.97,5.1676188,5.37,0.384,0.38516667,0.386,0.0,0.049404763,1.6
2002-05-26 00:00:00+00:00,5.4199996,10.350655,15.72,5.37,5.5911307,5.8199997,0.382,0.382875,0.384,0.0,0.1720238,3.0
2002-06-02 00:00:00+00:00,3.6699998,9.910774,17.82,5.8199997,6.0316067,6.22,0.379,0.3806131,0.382,0.0,0.09761904,3.5
2002-06-09 00:00:00+00:00,5.72,11.025952,16.869999,6.22,6.440238,6.6699996,0.377,0.37847024,0.379,0.0,0.14583333,2.6
2002-06-16 00:00:00+00:00,5.12,10.6351795,16.67,6.6699996,6.8726783,7.0699997,0.376,0.37650594,0.377,0.0,0.11964286,2.1
2002-06-23 00:00:00+00:00,7.32,12.321488,17.07,7.0699997,7.306309,7.52,0.374,0.3745893,0.376,0.0,0.012500001,0.4
2002-06-30 00:00:00+00:00,6.27,10.650655,15.12,7.57,7.7643447,7.97,0.372,0.37259525,0.374,0.0,0.09047619,1.2
2002-07-07 00:00:00+00:00,4.87,10.086965,13.820001,7.97,8.120298,8.27,0.37,0.3707976,0.372,0.0,0.125,1.5
2002-07-14 00:00:00+00:00,5.22,11.586072,17.17,8.27,8.416726,8.570001,0.368,0.36899403,0.37,0.0,0.07261904,1.4
2002-07-21 00:00:00+00:00,6.62,12.157203,18.17,8.570001,8.761071,8.97,0.366,0.36719644,0.368,0.0,0.14880952,4.2
2002-07-28 00:00:00+00:00,8.070001,13.350952,19.42,8.97,9.112559,9.27,0.365,0.3655536,0.366,0.0,0.0625,1.2
2002-08-04 00:00:00+00:00,11.62,15.315238,20.22,9.27,9.496786,9.72,0.363,0.3641726,0.365,0.0,0.2815476,3.0
2002-08-11 00:00:00+00:00,8.67,13.249167,19.07,9.72,10.000953,10.22,0.363,0.363,0.363,0.0,0.22440477,4.5
