date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-3.582,1.307881,7.718,7.818,8.118893,8.418,0.371,0.3715119,0.372,0.0,0.042857144,0.6
2002-01-06 00:00:00+00:00,-7.432,-0.94598806,5.0179996,7.118,7.4572854,7.818,0.372,0.37282738,0.373,0.0,0.005357143,0.4
2002-01-13 00:00:00+00:00,-1.332,3.6525235,9.418,6.4179997,6.747166,7.068,0.373,0.3739762,0.374,0.0,0.015476191,0.6
2002-01-20 00:00:00+00:00,1.3679999,5.7903214,9.868,6.118,6.256095,6.4179997,0.374,0.37432143,0.375,0.0,0.061904766,1.4
2002-01-27 00:00:00+00:00,-3.182,6.2057977,11.518,5.968,6.034964,6.118,0.375,0.375,0.375,0.0,0.10952381,1.7
2002-02-03 00:00:00+00:00,3.568,7.746869,11.717999,5.9179997,5.9302025,5.968,0.375,0.37543452,0.376,0.0,0.23333333,2.6
2002-02-10 00:00:00+00:00,1.3679999,6.102821,10.168,5.9179997,5.9179997,5.9179997,0.376,0.3784345,0.381,0.0,0.1529762,1.9
2002-02-17 00:00:00+00:00,-1.182,5.31919,10.318,5.868,5.9055,5.9179997,0.381,0.38258928,0.384,0.0,0.06964286,1.0
2002-02-24 00:00:00+00:00,-2.382,3.207881,9.467999,5.7679996,5.820976,5.868,0.384,0.38558334,0.387,0.0,0.11071429,1.9
2002-03-03 00:00:00+00:00,-1.0320001,3.3260357,8.318,5.5179996,5.6307974,5.7679996,0.387,0.38903573,0.392,0.0,0.24345239,3.8
2002-03-10 00:00:00+00:00,0.56799996,5.896869,10.368,5.368,5.4287143,5.5179996,0.392,0.39366072,0.395,0.0,0.077380955,1.2
2002-03-17 00:00:00+00:00,-1.3820001,4.282881,11.268,5.2679996,5.3322854,5.368,0.395,0.395,0.395,0.0,0.086904764,0.7
2002-03-24 00:00:00+00:00,1.968,6.7501426,11.467999,5.2679996,5.2679996,5.2679996,0.395,0.395,0.395,0.0,0.060714286,1.3
2002-03-31 00:00:00+00:00,-1.432,6.8605595,12.818,5.2679996,5.333476,5.4179997,0.394,0.39402977,0.395,0.0,0.0017857144,0.2
2002-04-07 00:00:00+00:00,-0.68200004,6.7846665,14.418,5.4179997,5.4861546,5.568,0.393,0.39346427,0.394,0.0,0.011309524,0.8
2002-04-14 00:00:00+00:00,-0.532,4.913238,9.717999,5.568,5.6424046,5.6679997,0.392,0.39232737,0.393,0.0,0.01607143,0.3
2002-04-21 00:00:00+00:00,-2.182,7.5534167,16.118,5.6679997,5.7278214,5.7679996,0.39,0.39064878,0.392,0.0,0.049404763,1.3
2002-04-28 00:00:00+00:00,3.418,9.765023,17.718,5.7679996,5.923357,6.068,0.388,0.38882142,0.39,0.0,0.073214285,1.1
2002-05-05 00:00:00+00:00,0.81799996,6.588536,11.268,6.068,6.215916,6.318,0.386,0.38674405,0.388,0.0,0.073214285,1.0
2002-05-12 00:00:00+00:00,4.5179996,9.284071,16.768002,6.318,6.431095,6.568,0.383,0.38459525,0.386,0.0,0.008333334,0.4
2002-05-19 00:00:00+00:00,7.718,11.798952,20.768002,6.568,6.7227616,6.9179997,0.381,0.3823095,0.383,0.0,0.07380953,0.8
2002-05-26 00:00:00+00:00,6.0179996,11.845083,16.618,6.9179997,7.135559,7.368,0.379,0.37999406,0.381,0.0,0.18214285,2.2
2002-06-02 00:00:00+00:00,4.068,11.284666,19.418001,7.368,7.5557976,7.718,0.376,0.37768453,0.379,0.0,0.08392857,0.9
2002-06-09 00:00:00+00:00,6.4179997,12.384369,18.018002,7.718,7.946869,8.168,0.374,0.37530357,0.376,0.0,0.08869048,1.4
2002-06-16 00:00:00+00:00,7.318,12.452523,20.118,8.168,8.356095,8.568,0.372,0.37314287,0.374,0.0,0.12916668,1.9
2002-06-23 00:00:00+00:00,7.918,14.100441,19.868,8.568,8.7805,9.018,0.369,0.3707976,0.372,0.0,0.0023809525,0.2
2002-06-30 00:00:00+00:00,7.818,12.493596,16.868,9.018,9.246869,9.467999,0.367,0.36817858,0.369,0.0,0.045238096,0.7
2002-07-07 00:00:00+00:00,5.118,11.954309,16.868,9.467999,9.62931,9.768,0.365,0.36605954,0.367,0.0,0.14880952,1.4
2002-07-14 00:00:00+00:00,7.1679997,13.3572855,20.268002,9.768,9.947166,10.118,0.363,0.3638393,0.365,0.0,0.038690478,1.4
2002-07-21 00:00:00+00:00,8.418,14.257286,20.418001,10.118,10.3156185,10.518,0.361,0.36155954,0.363,0.0,0.14523809,2.2
2002-07-28 00:00:00+00:00,9.518,15.270976,22.618,10.518,10.694191,10.868,0.358,0.35954762,0.361,0.0,0.030952383,0.8
2002-08-04 00:00:00+00:00,12.467999,16.729607,23.218,10.868,11.092404,11.318,0.357,0.35754168,0.358,0.0,0.31547618,3.2
2002-08-11 00:00:00+00:00,10.518,14.752822,19.868,11.318,11.572464,11.818,0.355,0.35586905,0.357,0.0,0.20535715,3.2
2002-08-18 00:00:00+00:00,8.168,16.80937,24.468,11.818,11.984964,12.168,0.354,0.35450596,0.355,0.0,0.0023809525,0.2
2002-08-25 00:00:00+00:00,9.368,14.076333,18.568,12.168,12.375738,12.568,0.353,0.35322618,0.354,0.0,0.09464286,2.8
2002-09-01 00:00:00+00:00,7.068,14.526036,20.968,12.568,12.680798,12.818,0.351,0.35179168,0.353,0.0,0.0071428576,0.3
